Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
"Masterarbeit „Evolutionary Neuroscience of Language"" (G41)",200-MAa,Student Work,Martin Ernst Meyer,German,Master's Thesis
Advanced Flow Cytometry Course,BIO629,Lecture with Practical Exercises,Stephan Benke,English,BIO 629 Advanced Flow Cytometry Course
Introductory course in flow cytometry,BIO632,Lecture with Practical Exercises,Stephan Benke,English,BIO 632 Introductory course in flow cytometry
Introductory course in flow cytometry,BIO632,Lecture with Practical Exercises,Stephan Benke,English,BIO 632 Introductory course in flow cytometry
Professional Affairs,.305_bk,Course,Dolf Kümmerlen,German,Professional Affairs
Food Safety,.315_ls,Course,Roger Stephan,German,Food Safety
Gastrointestinal System,.320_vd,Lecture with Practical Exercises,Anton Fürst,"German, English",Gastrointestinal System
"Kidneys, Fluid and Electrolyte Balance",.330_nsw,Lecture with Practical Exercises,Anton Fürst,"German, English","Kidneys, Fluid and Electrolyte Balance"
Parasitology II,.325_p2,Lecture with Practical Exercises,Matthias Marti,German,Parasitology
Virology,.335_vr,Course,Cornel Fraefel,German,Virology
Human Molecular Genetics,BME308,Block Course,Wolfgang Berger,English,BME 308 Human Molecular Genetics
Microscopy,BIO416,Course,Joana Raquel Delgado Martins,English,BIO 416 Microscopy
Diseases of autonomous systems,BME303,Block Course,Roland H. Wenger,English,BME 303 Diseases of autonomous systems
Molecular and Cellular Neurobiology,BME322,Course,Christian Grimm,English,BME 322 Molecular and Cellular Neurobiology
Physiology and anatomy I,BME235,Course,Johannes Loffing,German,BME 235 Physiology and anatomy I
Electrophysiological Recording Techniques,BIO434,Block Course,Fritjof Helmchen,"English, German",BIO 434 Electrophysiological Recording Techniques
Prospects of molecular diagnostics in pediatrics,BME319,Block Course,Johannes Häberle,English,BME 319 Prospects of molecular diagnostics in pediatrics
Veterinary Medicine: comparative morphology and pathophysiology,BIO409,Block Course,Jean-Michel Hatt,English,BIO 409 Veterinary Medicine: comparative morphology and pathophysiology
Introductory Course in Laboratory Animal Science (LTK Modul 1),BIO412,Exercise Group,Thorsten Buch,"German, English",BIO 412 Introductory Course in Laboratory Animal Science (LTK Modul 1)
Tissue engin. of muscle a bones,BME343,Block Course,Simon Hoerstrup,English,BME 343 Tissue engineering of muscle and bones
Master Thesis in Biomedicine,BME500,Student Work,Thierry Hennet,English,BME 500 Master Thesis in Biomedicine
Scientific writing and publishing,BME410,Lecture with Practical Exercises,Christian Grimm,English,BME 410 Scientific writing and publishing
Biomedicine I,BME236,Course,Sebastian Jessberger,English,BME 236 Biomedicine I
"Nicht für die Schule, für die Kompetenz lernen wir. Kompetenzorientierung in Schule und",Bildung226948,Seminar,Maren Oepke,German,"Nicht für die Schule, für die Kompetenz lernen wir. Kompetenzorientierung in Schule"
Integrated knowledge in Biomedicine,BME520,Examination,Thierry Hennet,English,BME 520 Integrated knowledge in Biomedicine
Tissue Engineering of the Skin,BME346,Block Course,Thomas Biedermann,"English, German",BME 346 Tissue Engineering of the Skin
Research Project Biomedicine,BME550,Practical Training,Thierry Hennet,English,BME 550 Research Project Biomedicine
Research Internship in Biomedicine (6-12 weeks),BME300,Practical Training,Wolfgang Berger,English,BME 300 Research Internship in Biomedicine (6-12 weeks)
Metabolism and Nutrition,BME317,Lecture with Practical Exercises,Thomas Lutz,English,BME 317 Metabolism and Nutrition
Introduction to Biomedicine,BME111,Lecture with Practical Exercises,Thierry Hennet,German,BME 111 Introduction to Biomedicine
Muscle and Bone Bioengineering,BME336,Block Course,Daniel Eberli,English,BME 336 Muscle and Bone Bioengineering
Vital Functions: Measurements on the Human Body,BME304,Block Course,Roland H. Wenger,English,BME 304 Vital Functions: Measurements on the Human Body
Microbiomes in health and disease,BME307,Block Course,Thierry Hennet,English,BME 307 Microbiomes in health and disease
Animal disease models in modern biomedical research,BME358,Block Course,Soeren Lienkamp,English,BME 358 Animal disease models in modern biomedical research
Cellular Modelling of Neuropsy,BME365,Block Course,Edna Grünblatt,English,BME 365 Cellular Modelling of Neuropsychiatry
Epigenetics and Disease,BME312,Block Course,Michael O. Hottiger,English,BME 312 Epigenetics and Disease
Principles of teaching in human physiology,BME682,Tutorial,N/A,English,BME 682 Principles of teaching in human physiology
Pediatric Immunology,BME362,Block Course,Jana Pachlopnik Schmid,English,BME 362 Pediatric Immunology
N/A,BME324,Course,Michael Arand,English,BME 324 Basics in human toxicology
Animal experimentation and alternative methods in biomedical research,BME311,Course,Stephan Neuhauss,English,BME 311 Animal experimentation and alternative methods in biomedical research
Biomaterials and Applied Technologies in Dentistry,BME345,Block Course,Mutlu Özcan,English,BME 345 Biomaterials and Applied Technologies in Dentistry
Translational Medicine in Neuroscience and Infection,BME368,Block Course,Thomas Kessler,English,BME 368 Translational Medicine in Neuroscience and Infection
Applied statistics for biomedicine and biology: advanced linear models,BME334,Block Course,Adrian V. Jaeggi,English,BME 334 Applied statistics for biomedicine and biology: advanced linear models
From stem cell to full tissue analysis,BME350,Block Course,Paolo Cinelli,English,BME 350 From stem cell to full tissue analysis
Fächerübergreifenden Unterricht wirkungsvoll gestalten,223141m0,Seminar,Christine Gerloff-Gasser,German,Effective design of interdisciplinary teaching
Aufgabenkultur und komplexe Lehr- Lernumgebungen,223142m0,Seminar,Iris Tanner,German,Task culture and complex teaching and learning environments
Fachdidaktik Biologie I,090Rutz1,Lecture with Practical Exercises,Guido Rutz,German,Subject Didactics Biology I
Fachdidaktik Biologie I,090Heft1,Lecture with Practical Exercises,Martin Hefti,German,Subject Didactics Biology I
Fachdidaktik Biologie III,090Rutz3,Lecture with Practical Exercises,Guido Rutz,German,Subject Didactics Biology III
Fachdidaktik Chemie III: Das Experiment im Chemie-Unterricht,090ChExp,Block Course,Lorenz David Marti,German,Subject Didactics Chemistry III: Experiments in Teaching Chemistry
Fachdidaktik Französisch I,090Bo1,Course,Anja Bohner,French,Subject Didactics French I
Fachdidaktik Französisch II,090Oc2,Course,Gabriela Ochsner Jannibelli,French,Subject Didactics French II
Fachdidaktik Geographie I,090Hes1,Lecture with Practical Exercises,Stefan Hesske,German,Subject Didactics Geography I
Fachdidaktik Geographie I,090Raf1,Lecture with Practical Exercises,Julia Rafflenbeul Herren,German,Subject Didactics Geography I
Fachdidaktik Geschichte II,090Roe2,Lecture with Practical Exercises,Urs Roemer,German,Subject Didactics History II
Fachdidaktik Geschichte I,090Web1,Lecture with Practical Exercises,Philippe Jakob Weber,German,Subject Didactics History I
Fachdidaktik Geschichte I,090Mue1,Lecture with Practical Exercises,Thomas Christian Müller,German,Subject Didactics History I
Fachdidaktik Latein I,090Lat1,Course,Islème Sassi,German,Subject Didactics Latin I
Fachdidaktik Mathematik I,090Mat1,Course,Daniela Marion Grawehr Morath,German,Subject Didactics Mathematics I
Fachdidaktik Mathematik III,090Mat3,Course,Philipp Matthias Spindler,German,Subject Didactics Mathematics III
Fachdidaktik Philosophie II,090Phi2,Lecture with Practical Exercises,Roger Hofer,German,Subject Didactics Philosophy II
Fachdidaktik Philosophie III,090Phi3,Lecture with Practical Exercises,Fabienne Föry,German,Subject Didactics Philosophy III
Fachdidaktik Religion I,090Rel1,Course,Karel Hanke,German,Subject Didactics Religion I
Unterrichtsgestaltung und Schulentwicklung (UBM),090LLB1,Seminar,Anne Berger,German,Teaching at the federal vocational baccalaureate school: Lesson design and school
Lernende an der Berufsmaturitätsschule unterstützen und begleiten (LBM),090LLB2,Seminar,Clarissa Koller-Marangi,German,Support and accompany learners at the federal vocational baccalaureate school
Didaktik des Immersionsunterrichts an Maturitätsschulen (Englisch),090Imm,Seminar,Michael Bühler,English,English language immersion pedagogy
Sensory systems: How we hear and see: Introduction to Human Physiology,ZIHP,Block Course,Christian Grimm,English,Sensory systems: How we hear and see: Introduction to Human Physiology
Português brasileiro A1,_BRP_A1,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A1
Português brasileiro A2,_BRP_A2,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A2
Português brasileiro B1,_BRP_B1,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro B1
Português brasileiro A2-B2: Música popular urbana,_BRP_AB,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A2-B2: Música popular urbana
Italiano B2-C1: Lingua e letteratura,_I_LL,Language Course,N/A,Italian,Italiano B2-C1: Lingua e letteratura
Italiano A2,_I_A2,Language Course,Anna Dal Negro,Italian,Italiano A2
Italiano A1,_I_A1,Language Course,Paola Brülisauer-Casella,Italian,Italiano A1
Italiano A1,_I_A1,Language Course,Anna Dal Negro,Italian,Italiano A1
Italiano A1,_I_A1,Language Course,Anna Dal Negro,Italian,Italiano A1
Italiano B2: Lingua in contesto specifico,_I_Lcsp,Language Course,Anna Dal Negro,Italian,Italiano B2: Lingua in contesto specifico
Italiano A2 (Parte I),-I-1,Language Course,Nicoletta Rivetto,"Italian, German",Italiano A2 (Parte I)
Español A1,_Sp_A1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A1
Español A1,_Sp_A1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A1
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1
Español A2-B1: Para médicos,_Sp_Med,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2-B1: Para médicos
Español A2: Consolidación,_Sp_A2C,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Consolidación
Español A2: Consolidación,_Sp_A2C,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2: Consolidación
Español A2: Inicial,_Sp_A2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Inicial
Español A2: Inicial,_Sp_A2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Inicial
Español A2: Inicial,_Sp_A2I,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2: Inicial
Español B1-B2: Intercambio y prácticas en un país hispanohablante,_Sp_InP,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1-B2: Intercambio y prácticas en un país hispanohablante
Español B1: Consolidación,_Sp_B1C,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español B1: Consolidación
Español B1: Consolidación,_Sp_B1C,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1: Consolidación
Español B1: Inicial,_Sp_B1I,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1: Inicial
Español B2: Gramática y comunicación,_Sp_B2Gc,Language Course,Joaquin Ruano Cespedes,Spanish,Español B2: Gramática y comunicación
Español B2: Inicial,_Sp_B2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español B2: Inicial
Français : Préparation au DELF B2,_F_DEB2,Language Course,Jean-Philippe Coen,French,Français : Préparation au DELF B2
Français A1 : Cours de base,_F_CA1,Language Course,Cyril Destefani,French,Français A1 : Cours de base
Français A1 : Cours de base,_F_CA1,Language Course,Manon Huguenot,French,Français A1 : Cours de base
Français A1 : Mise à niveau,_F_MA1,Language Course,Manon Huguenot,French,Français A1 : Mise à niveau
Français A2 : Cours de base,_F_CA2,Language Course,Cyril Destefani,French,Français A2 : Cours de base
Français A2 : Cours de base,_F_CA2,Language Course,Manon Huguenot,French,Français A2 : Cours de base
Français A2 : Mise à niveau,_F_MA2,Language Course,Manon Huguenot,French,Français A2 : Mise à niveau
Français A2-B1 : Expression orale,_F_ExoAB,Language Course,Cyril Destefani,French,Français A2-B1 : Expression orale
Français A2-B1 : Grammaire et Vocabulaire,_F_GVAB,Language Course,Cyril Destefani,French,Français A2-B1 : Grammaire et Vocabulaire
Français B1 : Cours de base,_F_CB1,Language Course,Cyril Destefani,French,Français B1 : Cours de base
Français B1 : Mise à niveau,_F_MB1,Language Course,Cyril Destefani,French,Français B1 : Mise à niveau
Français B1 : Mise à niveau,_F_MB1,Language Course,Cyril Destefani,French,Français B1 : Mise à niveau
Français B1-B2 : Expression orale,_F_EoB12,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Expression orale
Français B1-B2 : Expression orale,_F_EoB12,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Expression orale
Français B1-B2 : Grammaire et Vocabulaire,_F_GVa,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Grammaire et Vocabulaire appliqué
Français B1-B2 : Grammaire et Vocabulaire,_F_GVa,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Grammaire et Vocabulaire appliqué
Français B2 : Mise à niveau,_F_MB2,Language Course,Cyril Destefani,French,Français B2 : Mise à niveau
Français B2-C1 : Débat et présentation orale,_F_DpBC,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Débat et présentation orale
Français B2-C1 : Grammaire textuelle,_F_Grtex,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Grammaire textuelle
Français B2-C1 : Langue et littérature,_F_LaLi,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Langue et littérature
Français des médecins B1-C1,_F_MB1C1,Language Course,Cyril Destefani,French,Français des médecins B1-C1
Français juridique B1-C1 : Introduction,_F_JBC1,Language Course,Cyril Destefani,French,Français juridique B1-C1 : Introduction
Français juridique B2-C1 : Approches des arrêts du Tribunal fédéral,_F_JB2C,Language Course,Cyril Destefani,French,Français juridique B2-C1 : Approches des arrêts du Tribunal fédéral
Français B2 (partie I),-F-1,Language Course,Jean-Philippe Coen,French,Français B2 (partie I)
Français A2-B1 : Grammaire et Vocabulaire,_F_GVAB,Language Course,Cyril Destefani,French,Français A2-B1 : Grammaire et Vocabulaire
Hospitationspraktikum,090BPEP,Practical Training,N/A,German,Lesson shadowing
"Übungslektionen im Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUE,Exercise Group,N/A,German,Lessons training
"Übungslektionen, 1. Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ1,Practical Training,N/A,German,Lessons training as part of the 1st subject didactics
"Übungslektionen, 2. Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ2,Exercise Group,N/A,German,Lessons training as part of the  2nd subject didactics
"Übungslektionen im zusätzlichen Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ,Exercise Group,N/A,German,Lessons training
"Übungslektionen W (20 Lektionen, davon 10 unterrichtet)",090WRUe,Exercise Group,N/A,German,Lessons training
"Unterrichtspraktikum I (50 Lektionen, davon 30 unterrichtet)",090BPP1,Practical Training,N/A,German,Teaching Internship I
Praktikumsjournal im Rahmen des Unterrichtspraktikums,90BPPJ,Practical Training,N/A,German,Internship journal as part of the 1st teaching internship
"Unterrichtspraktikum II-E (40 Lektionen, davon 25 unterrichtet)",090BPP2,Practical Training,N/A,German,Teaching Internship II-E
"Unterrichtspraktikum II-W (30 Lektionen, davon 20 unterrichtet)",090BPPW2,Practical Training,N/A,German,Teaching Internship II-W
"Unterrichtspraktikum II-Z (30 Lektionen, davon 20 unterrichtet)",090BPUP2,Practical Training,N/A,German,Teaching Internship II-Z
"Unterrichtspraktikum im Zusatzfach (30 Lektionen, davon 20 unterrichten)",090BPUPZ,Practical Training,N/A,German,Teaching Internship
Unterrichtspraktikum Z-WI im Zusatzfach Wirtschaft und Recht an einem Gymnasium (30,090BPZW1,Practical Training,N/A,German,Teaching Internship Z-W1
Unterrichtspraktikum Z-W2 im Zusatzfach Wirtschaft und Recht an einem Gymnasium (30,090BPZW2,Practical Training,N/A,German,Teaching Internship Z-W2
"Übungslektionen im Zusatzfach «Wirtschaft und Recht» (15 Lektionen, davon 8",M090BPUW,Exercise Group,N/A,German,"Übungslektionen im Zusatzfach «Wirtschaft und Recht» (15 Lektionen, davon 8"
Italiano A2-B1: Grammatica in contesto comunicativo,_I_GA2B1,Language Course,Valeria Buttini,Italian,Italiano A2-B1: Grammatica in contesto comunicativo
Italiano A2,_I_A2,Language Course,Valeria Buttini,Italian,Italiano A2
Italiano A2,_I_A2,Language Course,Valeria Buttini,Italian,Italiano A2
Italiano A1,_I_A1,Language Course,Valeria Buttini,Italian,Italiano A1
Italiano A1,_I_A1,Language Course,Valeria Buttini,Italian,Italiano A1
Italiano A1,_I_A1,Language Course,Valeria Buttini,Italian,Italiano A1
Español A1,_Sp_A1,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español A1
Español A1,_Sp_A1,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español A1
Español A2: Inicial,_Sp_A2I,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español A2: Inicial
Español A2: Inicial,_Sp_A2I,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español A2: Inicial
Español B1: Inicial,_Sp_B1I,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español B1: Inicial
Español B1: Inicial,_Sp_B1I,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español B1: Inicial
Español A2: Consolidación,_Sp_A2C,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español A2: Consolidación
Español B2-C1: Lengua y cine,_Sp_LC,Language Course,Mercedes Iturrizaga Slosiar,Spanish,Español B2-C1: Lengua y cine
Italiano A2-B1: Interazione orale,_I_IorAB,Language Course,Alessia Tarantino,Italian,Italiano A2-B1: Interazione orale
Italiano A1,_I_A1,Language Course,Alessia Tarantino,Italian,Italiano A1
Italiano A1: Per medici,_I_MedA1,Language Course,Alessia Tarantino,Italian,Italiano A1: Per medici
Italiano A2,_I_A2,Language Course,Alessia Tarantino,Italian,Italiano A2
Italiano A2,_I_A2,Language Course,Alessia Tarantino,Italian,Italiano A2
Italiano A2-B1: Per medici,_I_MedAB,Language Course,Alessia Tarantino,Italian,Italiano A2-B1: Per medici
Italiano A2: Per medici,_I_MedA2,Language Course,Alessia Tarantino,Italian,Italiano A2: Per medici
Italiano B1: Grammatica in contesto comunicativo,_I_GB1,Language Course,Alessia Tarantino,Italian,Italiano B1: Grammatica in contesto comunicativo
Italiano B1-B2: Grammatica in contesto comunicativo,_I_GB12,Language Course,Alessia Tarantino,Italian,Italiano B1-B2: Grammatica in contesto comunicativo
Molecular Bioloy Methods,ZIHP,Block Course,Pedro Antonio Ruiz-Castro,English,Molecular biology methods
Modern Greek I A1.1,_NGR_I,Language Course,Agni Rassidakis Kastrinidis,German,Modern Greek I A1.1
Modern Greek III A2.1,_NGR_III,Language Course,Agni Rassidakis Kastrinidis,German,Modern Greek III A2.1
Swedish I A1,_SWE_I,Language Course,Franziska Kreis,German,Swedish I A1
Swedish I A1,_SWE_I,Language Course,Franziska Kreis,German,Swedish I A1
Swedish I A1,_SWE_I,Language Course,Franziska Kreis,German,Swedish I A1
Swedish II A2.1,_SWE_II,Language Course,Franziska Kreis,German,Swedish II A2.1
Chinese I A1.1,_CHN_I,Language Course,Ai-Linh Achermann,German,Chinese I A1.1
Chinese I A1.1,_CHN_I,Language Course,Ai-Linh Achermann,German,Chinese I A1.1
Chinese I A1.1,_CHN_I,Language Course,Nathalie Bao-Götsch,German,Chinese I A1.1
Chinese III A2.1,_CHN_III,Language Course,Ai-Linh Achermann,German,Chinese III A2.1
Current Aspects of Parasitological Research,FWB12,Seminar,Adrian Hehl,German,Current Aspects of Parasitological Research
Current Problems in Biochemistry and Molecular Biology (Joint Research Meeting),FWB16,Colloquium,Michael O. Hottiger,German,Current Problems in Biochemistry and Molecular Biology  (Joint Research Meeting)
Current Problems of Laboratory Medicine and Clinical Research,FWB57,Seminar,Regina Hofmann-Lehmann,German,Current Problems in Laboratory Medicine and Clinical Research
Current Problems in Pharmacology,FWB04,Colloquium,Hanspeter Nägeli,German,Current Problems in Pharmacology
Current Topics of Oncology,FWB47,Block Course,Franco Guscetti,German,Current Topics of Oncology
Small Animal Anaesthesia: Stand by Duty,1,Practical Training,Simone Katja Ringer,German,Small Animal Anaesthesia: Stand by Duty
Anaesthesiology,.401_an,Lecture with Practical Exercises,Simone Katja Ringer,German,"Anaethesiology, Complementary Medicine, Oncology, Infectious Diseases, Laboratory"
"Applied Pharmacology, Clinical Toxicology, Veterinary Pharmacy Practice",.407_ph,Course,Hanspeter Nägeli,German,"Anaethesiology, Complementary Medicine, Oncology, Infectious Diseases, Laboratory"
Selected Topics of Food Safety,FWB29,Colloquium,Roger Stephan,German,Selected Topics of Food Safety
"Bacteriology, Mycology I",.240_bm,Lecture with Practical Exercises,Sophia Johler-Ilic,German,"Bacteriology, Mycology"
Bees,.461_bi,Lecture with Practical Exercises,N/A,"English, German","Bees, Fish, Poultry, Pets, Laboratory Animals, Wildlife"
Book Club Anaesthesiology,FW96,Seminar,Simone Katja Ringer,German,Book Club Anaesthesiology
Book Club Oncology,FWB114,Colloquium,Carla Rohrer Bley,German,Book Club Oncology
Book Club Equine Surgery,FW102,Seminar,Jan Kümmerle,German,Book Club Equine Surgery
Book Club Equine Medicine,FW98,Seminar,Colin Schwarzwald,German,Book Club Equine Medicine
CABMM Scientific Seminar,FWB82,Exercise Group,N/A,English,CABMM Scientific Seminar
Practical Course in General Chemistry for Students of Veterinary Medicine,.112_chm,Practical Training,Jawad Alzeer,"German, English",Chemistry
Practical Course in General Chemistry for Students of Veterinary Medicine,.112_chm,Practical Training,Jawad Alzeer,"German, English",Chemistry
General Surgery,.211_chi,Lecture with Practical Exercises,Anton Fürst,"German, English","Surgery, Infection Control, Pharmacology and Toxicology, Propaedeutics, Animal"
Diarrhea / Vomiting / Emaciation,Diarrhea,Vomiting,Christian Gerspach,German,"Chief Complaints: Cough/Dyspnoea/Nasal Discharge, Infertility, Diarrhea/Vomiting/"
"Introduction Rotations in General, Laboratory Medicine",.501_ero,Block Course,Regina Hofmann-Lehmann,German,"Introduction Rotations in General, Laboratory Medicine"
Dissection Course,.441_sc,Practical Training,Anja Kipar,German,"Clinical Training, Dissection Course"
Epidemiological Guidance,FWB41,Colloquium,Paul Torgerson,German,Epidemiological Guidance
Exotics Club,71,Exercise Group,Jean-Michel Hatt,German,Exotics Club
Exotic Animals: Case Reports,FWB51,Colloquium,Jean-Michel Hatt,German,Exotic Animals: Case Reports
Field diagnostics - Knowledge transfer,W73,Block Course,Jean-Michel Hatt,German,Field diagnostics - Knowledge Transfer
Fish,.461_fi,Lecture with Practical Exercises,N/A,German,"Bees, Fish, Poultry, Pets, Laboratory Animals, Wildlife"
Further Training Pathology: Dermatology,FWB104,Seminar,Paula Grest,German,Further Training Pathology: Dermatology
Further Training Pathology: Internal Medicine of Domestic Animals,FWB87,Seminar,Franco Guscetti,German,Further Training Pathology: Internal Medicine of Domestic Animals
Further Training Pathology: Oncology,FWB86,Seminar,Franco Guscetti,German,Further Training Pathology: Oncology
Further Training Pathology: Ophthalmology,FWB85,Seminar,Franco Guscetti,German,Further Training Pathology: Ophthalmology
Further Training Pathology: Equine Medicine,FWB107,Seminar,Anja Kipar,German,Further Training Pathology: Equine Medicine
Further Training Pathology: Zoo Animals,FWB108,Seminar,Anja Kipar,German,Further Training Pathology: Zoo Animals
Further Training: Small Animal Surgery: Morbidity and Mortality Rounds,FWB125,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery: Morbidity and Mortality Rounds
Further Training: Small Animal Surgery and Oncology: Case Discussion,FWB126,Colloquium,Carla Rohrer Bley,German,Further Training: Small Animal Surgery and Oncology: Case Discussion
Further Training: Small Animal Surgery and Radiology: Case Discussion,FWB127,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery and Radiology: Case Discussion
Further Training Seminar: Parasitology,FWB14,Seminar,Adrian Hehl,German,Further Training Seminar: Parasitology
"Obstetrics, Neonatology",.410_ge,Lecture with Practical Exercises,Heinrich Bollwein,German,"Obstetrics, Neonatology"
Poultry,.461_gf,Lecture with Practical Exercises,Jean-Michel Hatt,German,"Bees, Fish, Poultry, Pets, Laboratory Animals, Wildlife"
"Histology, general",.122_hi,Lecture with Practical Exercises,Mariusz Pawel Kowalewski,German,"Histology, general"
