Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
N/A,N/A,N/A,N/A,N/A,N/A
"Forschungsseminar (Beginn FS 2023), Teil II (Fortsetzung aus letztem Semester, nicht",226-513a,Seminar,Sascha Schneider,German,Research Seminar
Español: Curso de preparación al DELE B2,_Sp_DEB2,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE B2
Español: Curso de preparación al DELE C1,_Sp_DEC1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE C1
Español: Curso de preparación al DELE C2,_Sp_DEC2,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE C2
"Masterarbeit ""Entwicklungspsychologie: Säuglings- und Kindesalter"" (G01)",200-MAa,Student Work,Moritz Daum,German,Master's Thesis
"Masterarbeit ""Entwicklungspsychologie: Erwachsenenalter"" (G02)",200-MAa,Student Work,Alexandra M. Freund,German,Master's Thesis
"Masterarbeit ""Gerontopsychologie und Gerontologie"" (G04)",200-MAa,Student Work,Mike Martin,German,Master's Thesis
"Masterarbeit ""Allgemeine Psychologie: Kognition"" (G05)",200-MAa,Student Work,Klaus Oberauer,German,Master's Thesis
"Masterarbeit ""Psychologische Methodenlehre, Evaluation und Statistik"" (G06)",200-MAa,Student Work,Carolin Strobl,German,Master's Thesis
"Masterarbeit ""Klinische Entwicklungspsychologie"" (G07)",200-MAa,Student Work,Lilly Shanahan,German,Master's Thesis
"Masterarbeit ""Methoden der Plastizitätsforschung"" (G08/G33)",200-MAa,Student Work,Nicolas Oliver Langer,German,Master's Thesis
"Masterarbeit ""Allgemeine Psychologie: Motivation"" (G09)",200-MAa,Student Work,Veronika Brandstätter-Morawietz,German,Master's Thesis
"Masterarbeit ""Arbeits- und Organisationspsychologie"" (G11)",200-MAa,Student Work,Martin Kleinmann,German,Master's Thesis
"Masterarbeit ""Angewandte Sozial- und Gesundheitspsychologie"" (G13)",200-MAa,Student Work,Urte Scholz,German,Master's Thesis
"Masterarbeit ""Sozialpsychologie"" (G14/G30)",200-MAa,Student Work,Johannes Ullrich,German,Master's Thesis
"Masterarbeit  ""Klinische Psychologie Kinder/Jugendliche und Paare/Familien"" (G15)",200-MAa,Student Work,Guy Bodenmann,German,Master's Thesis
"Masterarbeit ""Klinische Psychologie und Psychotherapie"" (G16)",200-MAa,Student Work,Ulrike Maria Barbara Ehlert,German,Master's Thesis
"Masterarbeit ""Gesundheitspsychologie des Kindes- und Jugendalters"" (G17)",200-MAa,Student Work,Markus Andreas Landolt,German,Master's Thesis
"Masterarbeit ""Psychopathologie und Klinische Intervention"" (G18/G26/G29)",200-MAa,Student Work,Andreas Maercker,German,Master's Thesis
"Masterarbeit ""Klinische Psychologie mit Schwerpunkt Psychotherapieforschung"" (G19)",200-MAa,Student Work,Birgit Watzke,German,Master's Thesis
"Masterarbeit ""Experimentelle Psychopathologie und Psychotherapie"" (G20)",200-MAa,Student Work,Birgit Kleim,German,Master's Thesis
"Masterarbeit ""Forensik"" (G28)",200-MAa,Student Work,N/A,German,Master's Thesis
"Masterarbeit ""Neuropsychologie sozialer Kognition"" (G31)",200-MAa,Student Work,Hennric Jokeit,German,Master's Thesis
"Masterarbeit „Entwicklung des Gehirns"" (G36)",200-MAa,Student Work,Nora M. Raschle,German,Master's Thesis
"Masterarbeit ""Differentielle Psychologie und Diagnostik"" (G37)",200-MAa,Student Work,Wiebke Bleidorn,German,Master's Thesis
"Masterarbeit ""Persönlichkeitspsychologie"" (G38)",200-MAa,Student Work,Christopher James Hopwood,German,Master's Thesis
"Masterarbeit ""Persönlichkeit und psychische Gsundheit im interkulturellen Kontext"" (G39)",200-MAa,Student Work,Amber Gayle Thalmayer,German,Master's Thesis
