Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
"Masterarbeit ""Methoden der Plastizitätsforschung"" (G08/G33)",200-MAa,Student Work,"Nicolas Oliver Langer, Peter Klaver",German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Allgemeine Psychologie: Motivation"" (G09)",200-MAa,Student Work,Veronika Brandstätter-Morawietz,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Arbeits- und Organisationspsychologie"" (G11)",200-MAa,Student Work,Martin Kleinmann,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Angewandte Sozial- und Gesundheitspsychologie"" (G13)",200-MAa,Student Work,Urte Scholz,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Sozialpsychologie"" (G14/G30)",200-MAa,Student Work,"Johannes Ullrich, Michael Siegrist",German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit  ""Klinische Psychologie Kinder/Jugendliche und Paare/Familien"" (G15)",200-MAa,Student Work,Guy Bodenmann,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Klinische Psychologie und Psychotherapie"" (G16)",200-MAa,Student Work,Ulrike Maria Barbara Ehlert,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Gesundheitspsychologie des Kindes- und Jugendalters"" (G17)",200-MAa,Student Work,Markus Andreas Landolt,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Psychopathologie und Klinische Intervention"" (G18/G26/G29)",200-MAa,Student Work,"Andreas Maercker, Boris B. Quednow, Michael Schaub",German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Klinische Psychologie mit Schwerpunkt Psychotherapieforschung"" (G19)",200-MAa,Student Work,Birgit Watzke,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Experimentelle Psychopathologie und Psychotherapie"" (G20)",200-MAa,Student Work,Birgit Kleim,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Forensik"" (G28)",200-MAa,Student Work,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Neuropsychologie sozialer Kognition"" (G31)",200-MAa,Student Work,Hennric Jokeit,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit „Entwicklung des Gehirns"" (G36)",200-MAa,Student Work,Nora M. Raschle,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Differentielle Psychologie und Diagnostik"" (G37)",200-MAa,Student Work,Wiebke Bleidorn,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Persönlichkeitspsychologie"" (G38)",200-MAa,Student Work,Christopher James Hopwood,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Persönlichkeit und psychische Gsundheit im interkulturellen Kontext"" (G39)",200-MAa,Student Work,Amber Gayle Thalmayer,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit „Evolutionary Neuroscience of Language"" (G41)",200-MAa,Student Work,Martin Ernst Meyer,German,Master's Thesis,N/A,N/A,N/A,N/A
Advanced Flow Cytometry Course,BIO629,Lecture with Practical Exercises,"Stephan Benke, Claudia Dumrese, Tatiane Gorski, Priyanikha Jayakumar, Philipp Elmar Schätzle, Mario Wickert",English,BIO 629 Advanced Flow Cytometry Course,Monday,Morning,9,17
Introductory course in flow cytometry,BIO632,Lecture with Practical Exercises,"Stephan Benke, Claudia Dumrese, Tatiane Gorski, Priyanikha Jayakumar, Philipp Elmar Schätzle, Mario Wickert",English,BIO 632 Introductory course in flow cytometry,Tuesday,Morning,9,18
Introductory course in flow cytometry,BIO632,Lecture with Practical Exercises,"Stephan Benke, Claudia Dumrese, Tatiane Gorski, Priyanikha Jayakumar, Philipp Elmar Schätzle, Mario Wickert",English,BIO 632 Introductory course in flow cytometry,Tuesday,Morning,9,13
Professional Affairs,.305_bk,Course,"Dolf Kümmerlen, Rahel Jud Schefer, Felix Theiss",German,Professional Affairs,N/A,N/A,N/A,N/A
Food Safety,.315_ls,Course,Roger Stephan,German,Food Safety,N/A,N/A,N/A,N/A
Gastrointestinal System,.320_vd,Lecture with Practical Exercises,"Anton Fürst, Anja Kipar, Thomas Lutz, Hanspeter Nägeli, Christian Gerspach, Patrick Robert Kircher, Mariusz Pawel Kowalewski, Karl Nuss, Manuela Schnyder Gasparoli, Stefan Unterer, Peter Hendrik Kook, Dolf Kümmerlen, Mirja Christine Nolff, Frauke Antje Seehusen, Isabelle Louise Piotrowski, Barbara Anna Marie Riond, Sarah Nicole Schmitt, Meret Wehrli Eser","German, English",Gastrointestinal System,N/A,N/A,N/A,N/A
"Kidneys, Fluid and Electrolyte Balance",.330_nsw,Lecture with Practical Exercises,"Anton Fürst, Max Gassmann, Annette Liesegang, Thomas Lutz, Hanspeter Nägeli, Christian Gerspach, Mariusz Pawel Kowalewski, Karl Nuss, Johannes Vogel, Sebastian Patrick Arlt, Matthias Dennler, Dolf Kümmerlen, Mirja Christine Nolff, Giuliano Mario Corte, Monika Hilbe, Andrea Claudia Major, Barbara Anna Marie Riond, Sarah Nicole Schmitt, Alessio Vigani, Julia Nora Aimée van Spijk","German, English","Kidneys, Fluid and Electrolyte Balance",N/A,N/A,N/A,N/A
Parasitology II,.325_p2,Lecture with Practical Exercises,"Matthias Marti, Adrian Hehl, Manuela Schnyder Gasparoli, Alexander Mathis, Niels Olaf Verhulst, Ramon Eichenberger",German,Parasitology,N/A,N/A,N/A,N/A
Virology,.335_vr,Course,"Cornel Fraefel, Julia Lechmann, Anna Sophie Ramsauer, Kurt Tobler",German,Virology,N/A,N/A,N/A,N/A
Human Molecular Genetics,BME308,Block Course,"Wolfgang Berger, Cordula Haas, Sean Froese, Samuel David Koller, Jordi Maggi, Raphael Morscher",English,BME 308 Human Molecular Genetics,Thursday,Morning,8,17
Microscopy,BIO416,Course,"Joana Raquel Delgado Martins, Jana Döhner, Andres Käch",English,BIO 416 Microscopy,Tuesday,Morning,10,12
Diseases of autonomous systems,BME303,Block Course,"Roland H. Wenger, Arnold von Eckardstein, Raghvendra Dubey, Thorsten Hornemann, Caroline Ospelt, Dominik Schaer, Giovanni Guido Camici, Christoph Schneider, Gabriela Kania, Omolara Olushola Ogunshola, Marianne Rebecca Spalinger, Sarah Costantino, Jérôme Robert",English,BME 303 Diseases of autonomous systems,Tuesday,Afternoon,13,17
Molecular and Cellular Neurobiology,BME322,Course,"Christian Grimm, Bruno Weber, Theofanis Karayannis, Aiman Samir Saab",English,BME 322 Molecular and Cellular Neurobiology,Monday,Afternoon,13,14
Physiology and anatomy I,BME235,Course,"Johannes Loffing, Gerhard Rogler, Carsten Alexander Wagner, Roland H. Wenger, Giovanni Guido Camici, Isabelle Maria Anna Frey-Wagner, Isabel Rubio Aliaga, David Penton Ribas",German,BME 235 Physiology and anatomy I,Monday,Morning,10,12
Electrophysiological Recording Techniques,BIO434,Block Course,"Fritjof Helmchen, Reto Huber, Csaba Földy, Theofanis Karayannis, Martin Müller, Philipp Bethge, Wolfger von der Behrens","English, German",BIO 434 Electrophysiological Recording Techniques,Thursday,Morning,8,17
Prospects of molecular diagnostics in pediatrics,BME319,Block Course,"Johannes Häberle, Beat Christian Bornhauser, Mathias Hauri-Hohl",English,BME 319 Prospects of molecular diagnostics in pediatrics,Tuesday,Afternoon,13,17
Veterinary Medicine: comparative morphology and pathophysiology,BIO409,Block Course,"Jean-Michel Hatt, Thomas Lutz, Nicole Borel, Marcus Clauss, Anna Yulievna Bogdanova, Franco Guscetti, Michael Weishaupt, Christelle Le Foll, Jussi Matias Hepojoki, Monika Hilbe, Silke Kalchofner-Mark, Jakub Kubacki, Julia Lechmann, Cedric Müntener, Edith Marianne Schneider Gasser, Markus Thiersch",English,BIO 409 Veterinary Medicine: comparative morphology and pathophysiology,Thursday,Morning,8,17
Introductory Course in Laboratory Animal Science (LTK Modul 1),BIO412,Exercise Group,"Thorsten Buch, Philippe Bugnon","German, English",BIO 412 Introductory Course in Laboratory Animal Science (LTK Modul 1),N/A,N/A,N/A,N/A
Tissue engin. of muscle a bones,BME343,Block Course,"Simon Hoerstrup, Martin Ehrbar, Franz E. Weber, Chafik Ghayor, Sarah Edith Arner, Melanie Generali, Julien Paul Guerrero, Marcella Irene Martin, Paola Valdivieso",English,BME 343 Tissue engineering of muscle and bones,Thursday,Morning,8,17
Master Thesis in Biomedicine,BME500,Student Work,"Thierry Hennet, Anne Müller, Lubor Borsig, Vartan Kurtcuoglu, Christoph Schneider, Alexander Akhmedov",English,BME 500 Master Thesis in Biomedicine,N/A,N/A,N/A,N/A
Scientific writing and publishing,BME410,Lecture with Practical Exercises,"Christian Grimm, Thierry Hennet",English,BME 410 Scientific writing and publishing,Monday,Afternoon,16,18
Biomedicine I,BME236,Course,"Sebastian Jessberger, Alexandra Trkola, Carsten Alexander Wagner, Lubor Borsig, Benjamin Geoffrey Hale, Hubert Hilbi, Silke Stertz, Lorenza Penengo, Thomas Biedermann",English,BME 236 Biomedicine I,Thursday,Morning,8,9
"Nicht für die Schule, für die Kompetenz lernen wir. Kompetenzorientierung in Schule und",Bildung226948,Seminar,Maren Oepke,German,"Nicht für die Schule, für die Kompetenz lernen wir. Kompetenzorientierung in Schule",Thursday,Afternoon,14,15
Integrated knowledge in Biomedicine,BME520,Examination,"Thierry Hennet, Anne Müller, Lubor Borsig, Vartan Kurtcuoglu, Christoph Schneider, Alexander Akhmedov",English,BME 520 Integrated knowledge in Biomedicine,N/A,N/A,N/A,N/A
Tissue Engineering of the Skin,BME346,Block Course,"Thomas Biedermann, Agnes Silvia Klar, Katarzyna Ewa Michalak, Luca Pontiggia","English, German",BME 346 Tissue Engineering of the Skin,Thursday,Morning,8,17
Research Project Biomedicine,BME550,Practical Training,Thierry Hennet,English,BME 550 Research Project Biomedicine,N/A,N/A,N/A,N/A
Research Internship in Biomedicine (6-12 weeks),BME300,Practical Training,"Wolfgang Berger, Max Gassmann, Thierry Hennet, Carsten Alexander Wagner, Roland H. Wenger, Arnold von Eckardstein, Lubor Borsig",English,BME 300 Research Internship in Biomedicine (6-12 weeks),N/A,N/A,N/A,N/A
Metabolism and Nutrition,BME317,Lecture with Practical Exercises,"Thomas Lutz, Daniel Gero, Christelle Le Foll, Christina Boyle-Neuner, Jérôme Robert",English,BME 317 Metabolism and Nutrition,Monday,Afternoon,15,17
Introduction to Biomedicine,BME111,Lecture with Practical Exercises,"Thierry Hennet, Lubor Borsig",German,BME 111 Introduction to Biomedicine,Tuesday,Afternoon,13,14
Muscle and Bone Bioengineering,BME336,Block Course,"Daniel Eberli, Martin Ehrbar, Lisa Amanda Krattiger, Alekhya Mazumdar, Jenny Ann Prange, Souzan Salemi",English,BME 336 Muscle and Bone Bioengineering,Tuesday,Afternoon,13,17
Vital Functions: Measurements on the Human Body,BME304,Block Course,"Roland H. Wenger, Lubor Borsig, Vartan Kurtcuoglu, Thomas Knöpfel, Diane de Julien de Zélicourt",English,BME 304 Vital Functions: Measurements on the Human Body,Thursday,Morning,8,17
Microbiomes in health and disease,BME307,Block Course,"Thierry Hennet, Martin Hausmann, Natasha Arora",English,BME 307 Microbiomes in health and disease,Tuesday,Afternoon,13,17
Animal disease models in modern biomedical research,BME358,Block Course,"Soeren Lienkamp, Christian Stockmann",English,BME 358 Animal disease models in modern biomedical research,Tuesday,Afternoon,13,17
Cellular Modelling of Neuropsy,BME365,Block Course,"Edna Grünblatt, Maria Consolata Miletta",English,BME 365 Cellular Modelling of Neuropsychiatry,Tuesday,Afternoon,13,17
Epigenetics and Disease,BME312,Block Course,"Michael O. Hottiger, Matthias Altmeyer, Raffaella Santoro, Ataman Sendöl, Didier Surdez, Anna Bratus-Neuenschwander, Maria Domenica Moccia, Nina Alexandra Schmolka",English,BME 312 Epigenetics and Disease,Tuesday,Afternoon,13,17
Principles of teaching in human physiology,BME682,Tutorial,N/A,English,BME 682 Principles of teaching in human physiology,N/A,N/A,N/A,N/A
Pediatric Immunology,BME362,Block Course,"Jana Pachlopnik Schmid, Marianne Rohrbach, Cecilia Elena Maria Giunta Meyer, Pei Jin Lim, Lars Malmström, Samantha Milanesi, Ola Samir Soliman Younis Sabet",English,BME 362 Pediatric Immunology,Tuesday,Afternoon,13,17
N/A,BME324,Course,"Michael Arand, Anne Marowsky",English,BME 324 Basics in human toxicology,Monday,Afternoon,15,17
Animal experimentation and alternative methods in biomedical research,BME311,Course,"Stephan Neuhauss, Benjamin Victor Ineichen, Paulin Jirkof, Agnes Silvia Klar, Anna Deplazes Zemp, Markus Thiersch",English,BME 311 Animal experimentation and alternative methods in biomedical research,Tuesday,Afternoon,17,19
Biomaterials and Applied Technologies in Dentistry,BME345,Block Course,"Mutlu Özcan, Nadin Al-Haj Husain",English,BME 345 Biomaterials and Applied Technologies in Dentistry,Thursday,Morning,8,17
Translational Medicine in Neuroscience and Infection,BME368,Block Course,"Thomas Kessler, Lorenz Leitner, Ulrich Mehnert, Martina Liechti, Shawna Elise McEvoy, Stéphanie Van der Lely",English,BME 368 Translational Medicine in Neuroscience and Infection,Thursday,Morning,8,17
Applied statistics for biomedicine and biology: advanced linear models,BME334,Block Course,"Adrian V. Jaeggi, Erik Willems",English,BME 334 Applied statistics for biomedicine and biology: advanced linear models,Thursday,Morning,8,17
From stem cell to full tissue analysis,BME350,Block Course,"Paolo Cinelli, Christian Tackenberg, Melanie Generali, Ute Modlich",English,BME 350 From stem cell to full tissue analysis,Thursday,Morning,8,17
Fächerübergreifenden Unterricht wirkungsvoll gestalten,223141m0,Seminar,"Christine Gerloff-Gasser, Balz Wolfensberger",German,Effective design of interdisciplinary teaching,Wednesday,Morning,10,12
Aufgabenkultur und komplexe Lehr- Lernumgebungen,223142m0,Seminar,Iris Tanner,German,Task culture and complex teaching and learning environments,Thursday,Afternoon,12,13
Fachdidaktik Biologie I,090Rutz1,Lecture with Practical Exercises,Guido Rutz,German,Subject Didactics Biology I,Tuesday,Afternoon,13,14
Fachdidaktik Biologie I,090Heft1,Lecture with Practical Exercises,Martin Hefti,German,Subject Didactics Biology I,Tuesday,Afternoon,16,18
Fachdidaktik Biologie III,090Rutz3,Lecture with Practical Exercises,Guido Rutz,German,Subject Didactics Biology III,Tuesday,Afternoon,14,16
Fachdidaktik Chemie III: Das Experiment im Chemie-Unterricht,090ChExp,Block Course,Lorenz David Marti,German,Subject Didactics Chemistry III: Experiments in Teaching Chemistry,Saturday,Morning,9,17
Fachdidaktik Französisch I,090Bo1,Course,Anja Bohner,French,Subject Didactics French I,Friday,Morning,8,9
Fachdidaktik Französisch II,090Oc2,Course,Gabriela Ochsner Jannibelli,French,Subject Didactics French II,Tuesday,Afternoon,14,15
Fachdidaktik Geographie I,090Hes1,Lecture with Practical Exercises,Stefan Hesske,German,Subject Didactics Geography I,Monday,Morning,10,12
Fachdidaktik Geographie I,090Raf1,Lecture with Practical Exercises,Julia Rafflenbeul Herren,German,Subject Didactics Geography I,Monday,Morning,10,12
Fachdidaktik Geschichte II,090Roe2,Lecture with Practical Exercises,Urs Roemer,German,Subject Didactics History II,Friday,Morning,8,9
Fachdidaktik Geschichte I,090Web1,Lecture with Practical Exercises,Philippe Jakob Weber,German,Subject Didactics History I,Friday,Morning,8,9
Fachdidaktik Geschichte I,090Mue1,Lecture with Practical Exercises,Thomas Christian Müller,German,Subject Didactics History I,Wednesday,Morning,8,9
Fachdidaktik Latein I,090Lat1,Course,Islème Sassi,German,Subject Didactics Latin I,Wednesday,Afternoon,14,15
Fachdidaktik Mathematik I,090Mat1,Course,Daniela Marion Grawehr Morath,German,Subject Didactics Mathematics I,Wednesday,Afternoon,14,15
Fachdidaktik Mathematik III,090Mat3,Course,Philipp Matthias Spindler,German,Subject Didactics Mathematics III,Wednesday,Afternoon,16,18
Fachdidaktik Philosophie II,090Phi2,Lecture with Practical Exercises,Roger Hofer,German,Subject Didactics Philosophy II,Friday,Afternoon,14,15
Fachdidaktik Philosophie III,090Phi3,Lecture with Practical Exercises,Fabienne Föry,German,Subject Didactics Philosophy III,Thursday,Morning,10,12
Fachdidaktik Religion I,090Rel1,Course,Karel Hanke,German,Subject Didactics Religion I,Monday,Morning,8,9
Unterrichtsgestaltung und Schulentwicklung (UBM),090LLB1,Seminar,Anne Berger,German,Teaching at the federal vocational baccalaureate school: Lesson design and school,Thursday,Morning,8,9
Lernende an der Berufsmaturitätsschule unterstützen und begleiten (LBM),090LLB2,Seminar,Clarissa Koller-Marangi,German,Support and accompany learners at the federal vocational baccalaureate school,Thursday,Morning,10,12
Didaktik des Immersionsunterrichts an Maturitätsschulen (Englisch),090Imm,Seminar,Michael Bühler,English,English language immersion pedagogy,Wednesday,Afternoon,14,18
Sensory systems: How we hear and see: Introduction to Human Physiology,ZIHP,Block Course,"Christian Grimm, Flurin Pfiffner",English,Sensory systems: How we hear and see: Introduction to Human Physiology,Monday,Morning,9,12
Português brasileiro A1,_BRP_A1,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A1,Tuesday,Afternoon,16,17
Português brasileiro A2,_BRP_A2,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A2,Thursday,Afternoon,16,17
Português brasileiro B1,_BRP_B1,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro B1,Thursday,Afternoon,12,13
Português brasileiro A2-B2: Música popular urbana,_BRP_AB,Language Course,Paula de Avila Goulart Ribeiro Widauer,Other,Português brasileiro A2-B2: Música popular urbana,Tuesday,Evening,18,19
Italiano B2-C1: Lingua e letteratura,_I_LL,Language Course,N/A,Italian,Italiano B2-C1: Lingua e letteratura,N/A,N/A,N/A,N/A
Italiano A2,_I_A2,Language Course,Anna Dal Negro,Italian,Italiano A2,Wednesday,Evening,18,19
Italiano A1,_I_A1,Language Course,Paola Brülisauer-Casella,Italian,Italiano A1,Wednesday,Afternoon,12,13
Italiano A1,_I_A1,Language Course,Anna Dal Negro,Italian,Italiano A1,Wednesday,Afternoon,16,17
Italiano A1,_I_A1,Language Course,Anna Dal Negro,Italian,Italiano A1,Monday,Afternoon,16,17
Italiano B2: Lingua in contesto specifico,_I_Lcsp,Language Course,Anna Dal Negro,Italian,Italiano B2: Lingua in contesto specifico,Monday,Evening,18,19
Italiano A2 (Parte I),-I-1,Language Course,Nicoletta Rivetto,"Italian, German",Italiano A2 (Parte I),Monday,Afternoon,16,18
Español A1,_Sp_A1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A1,Wednesday,Evening,18,19
Español A1,_Sp_A1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A1,Wednesday,Afternoon,12,13
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1,Monday,Afternoon,16,17
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1,Wednesday,Afternoon,16,17
Español A1,_Sp_A1,Language Course,Joaquin Ruano Cespedes,Spanish,Español A1,Tuesday,Afternoon,12,13
Español A2-B1: Para médicos,_Sp_Med,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2-B1: Para médicos,Tuesday,Evening,18,19
Español A2: Consolidación,_Sp_A2C,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Consolidación,Thursday,Afternoon,16,17
Español A2: Consolidación,_Sp_A2C,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2: Consolidación,Wednesday,Evening,18,19
Español A2: Inicial,_Sp_A2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Inicial,Thursday,Evening,18,19
Español A2: Inicial,_Sp_A2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español A2: Inicial,Friday,Afternoon,12,13
Español A2: Inicial,_Sp_A2I,Language Course,Joaquin Ruano Cespedes,Spanish,Español A2: Inicial,Wednesday,Afternoon,12,13
Español B1-B2: Intercambio y prácticas en un país hispanohablante,_Sp_InP,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1-B2: Intercambio y prácticas en un país hispanohablante,Tuesday,Evening,18,19
Español B1: Consolidación,_Sp_B1C,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español B1: Consolidación,Wednesday,Afternoon,16,17
Español B1: Consolidación,_Sp_B1C,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1: Consolidación,Monday,Afternoon,12,13
Español B1: Inicial,_Sp_B1I,Language Course,Joaquin Ruano Cespedes,Spanish,Español B1: Inicial,Monday,Evening,18,19
Español B2: Gramática y comunicación,_Sp_B2Gc,Language Course,Joaquin Ruano Cespedes,Spanish,Español B2: Gramática y comunicación,Tuesday,Afternoon,16,17
Español B2: Inicial,_Sp_B2I,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español B2: Inicial,Thursday,Afternoon,12,13
Français : Préparation au DELF B2,_F_DEB2,Language Course,Jean-Philippe Coen,French,Français : Préparation au DELF B2,Wednesday,Afternoon,16,17
Français A1 : Cours de base,_F_CA1,Language Course,Cyril Destefani,French,Français A1 : Cours de base,Tuesday,Afternoon,12,13
Français A1 : Cours de base,_F_CA1,Language Course,Manon Huguenot,French,Français A1 : Cours de base,Thursday,Afternoon,16,17
Français A1 : Mise à niveau,_F_MA1,Language Course,Manon Huguenot,French,Français A1 : Mise à niveau,Thursday,Afternoon,12,13
Français A2 : Cours de base,_F_CA2,Language Course,Cyril Destefani,French,Français A2 : Cours de base,Tuesday,Afternoon,16,17
Français A2 : Cours de base,_F_CA2,Language Course,Manon Huguenot,French,Français A2 : Cours de base,Thursday,Evening,18,19
Français A2 : Mise à niveau,_F_MA2,Language Course,Manon Huguenot,French,Français A2 : Mise à niveau,Thursday,Afternoon,12,13
Français A2-B1 : Expression orale,_F_ExoAB,Language Course,Cyril Destefani,French,Français A2-B1 : Expression orale,Thursday,Afternoon,12,13
Français A2-B1 : Grammaire et Vocabulaire,_F_GVAB,Language Course,Cyril Destefani,French,Français A2-B1 : Grammaire et Vocabulaire,Monday,Afternoon,16,17
Français B1 : Cours de base,_F_CB1,Language Course,Cyril Destefani,French,Français B1 : Cours de base,Monday,Afternoon,12,13
Français B1 : Mise à niveau,_F_MB1,Language Course,Cyril Destefani,French,Français B1 : Mise à niveau,Wednesday,Morning,10,11
Français B1 : Mise à niveau,_F_MB1,Language Course,Cyril Destefani,French,Français B1 : Mise à niveau,Monday,Evening,18,19
Français B1-B2 : Expression orale,_F_EoB12,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Expression orale,Monday,Evening,18,19
Français B1-B2 : Expression orale,_F_EoB12,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Expression orale,Wednesday,Afternoon,16,17
Français B1-B2 : Grammaire et Vocabulaire,_F_GVa,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Grammaire et Vocabulaire appliqué,Monday,Afternoon,16,17
Français B1-B2 : Grammaire et Vocabulaire,_F_GVa,Language Course,Jean-Philippe Coen,French,Français B1-B2 : Grammaire et Vocabulaire appliqué,Wednesday,Evening,18,19
Français B2 : Mise à niveau,_F_MB2,Language Course,Cyril Destefani,French,Français B2 : Mise à niveau,Tuesday,Evening,18,19
Français B2-C1 : Débat et présentation orale,_F_DpBC,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Débat et présentation orale,Wednesday,Afternoon,12,13
Français B2-C1 : Grammaire textuelle,_F_Grtex,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Grammaire textuelle,Thursday,Evening,18,19
Français B2-C1 : Langue et littérature,_F_LaLi,Language Course,Jean-Philippe Coen,French,Français B2-C1 : Langue et littérature,Tuesday,Evening,18,19
Français des médecins B1-C1,_F_MB1C1,Language Course,Cyril Destefani,French,Français des médecins B1-C1,Thursday,Evening,18,19
Français juridique B1-C1 : Introduction,_F_JBC1,Language Course,Cyril Destefani,French,Français juridique B1-C1 : Introduction,Thursday,Afternoon,16,17
Français juridique B2-C1 : Approches des arrêts du Tribunal fédéral,_F_JB2C,Language Course,Cyril Destefani,French,Français juridique B2-C1 : Approches des arrêts du Tribunal fédéral,Friday,Afternoon,12,13
Français B2 (partie I),-F-1,Language Course,Jean-Philippe Coen,French,Français B2 (partie I),Tuesday,Afternoon,16,17
Français A2-B1 : Grammaire et Vocabulaire,_F_GVAB,Language Course,Cyril Destefani,French,Français A2-B1 : Grammaire et Vocabulaire,Wednesday,Afternoon,12,13
Hospitationspraktikum,090BPEP,Practical Training,N/A,German,Lesson shadowing,N/A,N/A,N/A,N/A
"Übungslektionen im Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUE,Exercise Group,N/A,German,Lessons training,N/A,N/A,N/A,N/A
"Übungslektionen, 1. Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ1,Practical Training,N/A,German,Lessons training as part of the 1st subject didactics,N/A,N/A,N/A,N/A
"Übungslektionen, 2. Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ2,Exercise Group,N/A,German,Lessons training as part of the  2nd subject didactics,N/A,N/A,N/A,N/A
"Übungslektionen im zusätzlichen Unterrichtsfach (10 Lektionen, davon 5 unterrichtet)",090BPUZ,Exercise Group,N/A,German,Lessons training,N/A,N/A,N/A,N/A
"Übungslektionen W (20 Lektionen, davon 10 unterrichtet)",090WRUe,Exercise Group,N/A,German,Lessons training,N/A,N/A,N/A,N/A
"Unterrichtspraktikum I (50 Lektionen, davon 30 unterrichtet)",090BPP1,Practical Training,N/A,German,Teaching Internship I,N/A,N/A,N/A,N/A
Praktikumsjournal im Rahmen des Unterrichtspraktikums,90BPPJ,Practical Training,N/A,German,Internship journal as part of the 1st teaching internship,N/A,N/A,N/A,N/A
"Unterrichtspraktikum II-E (40 Lektionen, davon 25 unterrichtet)",090BPP2,Practical Training,N/A,German,Teaching Internship II-E,N/A,N/A,N/A,N/A
