Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Forschungsseminar (Beginn FS 2023), Teil II (Fortsetzung aus letztem Semester, nicht",226-513a,Seminar,"Sascha Schneider, Konstantinos Michos",German,Research Seminar,Friday,Morning,10,13
Español: Curso de preparación al DELE B2,_Sp_DEB2,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE B2,Tuesday,Evening,18,19
Español: Curso de preparación al DELE C1,_Sp_DEC1,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE C1,Tuesday,Evening,18,19
Español: Curso de preparación al DELE C2,_Sp_DEC2,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Español: Curso de preparación al DELE C2,Tuesday,Evening,18,19
"Masterarbeit ""Entwicklungspsychologie: Säuglings- und Kindesalter"" (G01)",200-MAa,Student Work,Moritz Daum,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Entwicklungspsychologie: Erwachsenenalter"" (G02)",200-MAa,Student Work,Alexandra M. Freund,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Gerontopsychologie und Gerontologie"" (G04)",200-MAa,Student Work,Mike Martin,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Allgemeine Psychologie: Kognition"" (G05)",200-MAa,Student Work,Klaus Oberauer,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Psychologische Methodenlehre, Evaluation und Statistik"" (G06)",200-MAa,Student Work,Carolin Strobl,German,Master's Thesis,N/A,N/A,N/A,N/A
"Masterarbeit ""Klinische Entwicklungspsychologie"" (G07)",200-MAa,Student Work,Lilly Shanahan,German,Master's Thesis,N/A,N/A,N/A,N/A
