Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
"(G47) Forschungskolloquium ""Komputationale Modellierung in der Psychologie""",200-902a,Colloquium,Ven Popov,"German, English",Research Colloquium 1
"(G47) Masterprüfung ""Komputationale Modellierung in der Psychologie""",200-909a,Selbststudium mit Leistungsnachweis,Ven Popov,"German, English",Master's Exam
"(G47) Bachelorarbeit ""Komputationale Modellierung in der Psychologie""",200-BAa,Bachelor Paper,Ven Popov,German,Bachelor's Thesis
"(G47) Masterarbeit ""Komputationale Modellierung in der Psychologie""",200-MAa,Master Paper,Ven Popov,"German, English",Master's Thesis
Mantelstudium: Ernährungsmedizin,22MAS007,Course,Luc Biedermann,German,Elective Module: Nutrition Medicine
Elective Module: Nutrition and Prevention,24MAS003,Seminar,Sabine Rohrmann,German,Nutrition and Prevention
Masterarbeit,615-MAa,Master Paper,N/A,German,Master's Thesis
Propädeutikum Kunstgeschichte Ostasiens,642-002a,Seminar,Stephanie Santschi,"German, English",Propadeuticum
PhD-Kolloquien der einzelnen Lehrstühle,226G830a,Colloquium,N/A,German,Research Colloquia PhD (without Presentation)
Forschungslaboratorium Kulturanalyse 1,360-803a,Selbststudium mit Leistungsnachweis,N/A,German,Research Laboratory for Cultural Analysis 1
Forschungslaboratorium Kulturanalyse 2,360-804a,Selbststudium mit Leistungsnachweis,N/A,German,Research Laboratory for Cultural Analysis 2
Kulturanalytisches Forschungskolloquium,360-805a,Colloquium,Philosophische Fakultät N.N.-Dozent,German,PhD Research Colloquium Cultural Analysis
Masterarbeit,380-MAa,Master Paper,N/A,German,Master's Thesis
Spin Geometry,MAT782.1,Course,N/A,English,MAT 782 Spin Geometry
Eine Woche Hospitation in einer privatenZahnarztpraxis während den Semesterferien,ZPRAX_B,Praxiskurs,N/A,German,Internship Dental Clinic
Leben Schreiben: Ethnologische undliteraturwiss. Perspektiven,721k758a,Seminar,N/A,German,Writing Lives: Perspectives from Anthr. and Literary Studies
Schriftliche Arbeit zur Dynamik sprachlicher Vielfalt,272-009a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Dynamics of Linguistic Diversity
Schriftliche Arbeit zur Indogermanistik,272-010a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Indo-European Linguistics
Schriftliche Arbeit zu Sprache und kognitiven Prozessen,272-011a,Selbststudium mit Leistungsnachweis,N/A,German,Written Paper in Language and Cognitive Processes
