Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
B: Meet the Tudors: Historical Fictions and the Court of Henry VIII (Continuation from last semester),440-227a,Seminar,N/A,English,Literary and Cultural Analysis: Intermediality
A: Race in the Renaissance (Continuation from last semester),440-228a,Seminar,N/A,English,Literary and Cultural Analysis: (Post-)Colonial Perspectives
B: The Imperial Gothic (Continuation from last semester),440-228a,Seminar,N/A,English,Literary and Cultural Analysis: (Post-)Colonial Perspectives
"A: Poet, Preacher, Lover: John Donne's Multiple Identities (Continuation from last semester)",440-229a,Seminar,N/A,English,Literary and Cultural Analysis: Identities
B: From Brexit to Covid: Ali Smith and the Structure of Feeling (Continuation from last semester),440-229a,Seminar,N/A,English,Literary and Cultural Analysis: Identities
Writing Skills for Research (Group 1) (Continuation from last semester),440-800a,Exercise Group,N/A,English,Writing Skills for Research
Writing Skills for Research (Group 2) (Continuation from last semester),440-800a,Exercise Group,N/A,English,Writing Skills for Research
Writing Skills for Research (Group 3) (Continuation from last semester),440-800a,Exercise Group,N/A,English,Writing Skills for Research
Writing Skills for Research (Group 4) (Continuation from last semester),440-800a,Exercise Group,N/A,English,Writing Skills for Research
"Video Games: Aesthetics, Philosophy, Anthropology (working title)",440k501a,Seminar,N/A,English,"Video Games: Aesthetics, Philosophy, Anthropology (working title)"
Tracing James Baldwin: Harlem to the Swiss Alps,440k502a,Seminar,N/A,English,Tracing James Baldwin: Harlem to the Swiss Alps
(Post)Colonial Environments: Literary and Theoretical Perspectives,440k503a,Seminar,N/A,English,(Post)Colonial Environments: Literary and Theoretical Perspectives
Gender in Edmund Spenser's Faerie Queene,440k504a,Seminar,N/A,English,Gender in Edmund Spenser's Faerie Queene
"Lost Worlds, New Horizons",440k505a,Seminar,N/A,English,"Lost Worlds, New Horizons"
Modelling Constructional Variation in World Englishes,440k506a,Seminar,N/A,English,Modelling Constructional Variation in World Englishes
Interactional Sociolinguistics,440k507a,Seminar,N/A,English,Interactional Sociolinguistics
Language Contact in the History of English,440k508a,Seminar,N/A,English,Language Contact in the History of English
Reading Literary and Critical Theory: Group 1 (Continuation from last semester),440-550a,Seminar,N/A,English,Reading Literary and Critical Theory
Reading Literary and Critical Theory: Group 2 (Continuation from last semester),440-550a,Seminar,N/A,English,Reading Literary and Critical Theory
QO Masterarbeit Prähistorische Archäologie (Fortsetzung aus FS24),682-MAa,Master Paper,Philippe Della Casa,German,Master's Thesis
QO Masterarbeit Klassische Archäologie (Fortsetzung aus FS24),682-MAa,Master Paper,Corinna Reinhardt,German,Master's Thesis
QO Masterarbeit Mittelalterarchäologie (Fortsetzung aus FS24),682-MAa,Master Paper,Carola Jäggi,German,Master's Thesis
Doktoratskolloquium (Glaser/Reich),IUS_AD65,Colloquium,Andreas Glaser,German,Doktoratskolloquium (Glaser/Reich)
"Personen-, Familien-, Medizin- und Tierrecht",IUS_AD86,5 Gutachten Dissertation,Margot Michel,German,Doktoratskolloquium (M. Michel)
Doktoratskolloquium (Haas/Domej),IUS_AD31,Colloquium,Tanja Domej,German,Doktoratskolloquium (Haas/Domej)
Crime and Punishment,IUS_AD90,Colloquium,David William Garland,German,Doktoratskolloquium (Summers/Thommen/Garland)
N/A,N/A,N/A,N/A,N/A,N/A
Interdisziplinäres Forschungsseminar Spiritual Care HS24,25SF011,Seminar,Simon Peng-Keller,German,Interdisziplinäres Forschungsseminar Spiritual Care HS24
"Rechtsvergleichung, IPR und Europarecht",IUS_AD82,Colloquium,Katarina Andova,German,Doktoratskolloquium (Andova/Heiss)
Doktoratskolloquium (D. Jakob),IUS_AD10,Colloquium,Dominique Jakob,German,Doktoratskolloquium (D.Jakob)
Master's Thesis,CHE420.1,Master Paper,Laurent Bigler,"English, German",CHE 420 Master's Thesis
Introduction to chemical crystallography,KRI101.1,Lecture with Practical Exercises,Birger Dittrich,English,KRI 101 Chemical Crystallography I
Chemical crystallography practical course,KRI103.1,Praktikum,Bernhard Spingler,"German, English",KRI 103 Chemical Crystallography practical course
Advanced crystallography practical course,KRI104.1,Praktikum,Bernhard Spingler,"German, English",KRI 104 Advanced crystallography practical course
Laboratory Research Project,MDS201.1,Praktikum,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences
Master's Thesis and Defense,MDS201.2,Master Paper,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences
Master's Exam,MDS201.3,Prüfung ohne Lehrveranstaltung,Bernhard Spingler,"English, German",MDS 201 Master's Research in Chemical and Molecular Sciences
Retreat of the Graduate School of CMSZH,CMS201.1,Forschungsseminar,Felix Hubertus Zelder,English,CMS 201 Retreat of the Graduate School of CMSZH (with own presentation)
Communication Skills for Leaders,CMS103.1,Kurs,Paul-David Becker,English,CMS 103 Communication Skills for Leaders
Management Skills for Business Excellence,CMS104.1,Kurs,Paul-David Becker,English,CMS 104 Management Skills for Business Excellence
Leadership Skills for Executives,CMS105.1,Kurs,Paul-David Becker,English,CMS 105 Leadership Skills for Executives
Literaturkritik,360-532a,Semesterarbeit,N/A,German,Literary Criticism
Literatur im Bildungswesen,360-533a,Semesterarbeit,N/A,German,Literatur im Bildungswesen
Grundlagen der kognitiven Semantik,360-542a,Seminar,N/A,German,Linguistic Methods
Meisterklasse Sprachgeschichte: Syntax,360-543a,Seminar,N/A,German,Change and variation: structural aspects
Den Rahmen der Literatur sprengen - Weibliche Autofiktionen,360-606a,Seminar,N/A,German,Intermediality in Modern Scandinavian Literature
Kulturanalytische Perspektiven auf Climate Fiction,380k801a,Seminar,N/A,German,Praktiken der Kulturanalyse
QO Stadtwandelung 2.0 (Fortsetzung aus FS24),360-514a,Colloquium,N/A,German,Practical Medieval Studies
"QO Grundlagen Spracherwerb (Fortsetzung aus FS24, nicht separat buchbar)",360-107a,Seminar,N/A,German,Linguistic Structures and Functions
"QO Kulturanalytische Linguistik (Fortsetzung aus FS24, nicht separat buchbar)",360-107a,Seminar,N/A,German,Linguistic Structures and Functions
"QO Schweizer Kindheiten (Fortsetzung aus letztem Semester, nicht separat buchbar)",360-113a,Colloquium,N/A,German,Literature in Switzerland
"QO Ältere deutsche Literatur - Grundlagen und Methoden (Fortsetzung aus letztem Semester, nicht separat buchbar)",360-109a,Seminar,N/A,German,Medieval and Early Modern German Literature - Basics and Methods
"Essen, Körper und Moral - sprachliche Praktiken rund um Ernährung",360-545a,Seminar,N/A,German,Present-day language: Structures
Sprachliche Variation an Schulen - Dialekt und Standardsprache im Fokus,360-545a,Seminar,N/A,German,Present-day language: Structures
"QO Literarische Wirklichkeit (Fortsetzung aus letztem Semester, nicht separat buchbar)",360-509a,Seminar,N/A,German,Literary Forms
"QO Phantastik der Beglaubigung (Fortsetzung aus letztem Semester, nicht separat buchbar)",360-510a,Seminar,N/A,German,Cultural Dimensions
Bachelorarbeit,272-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
NT Lecture: Theology of the Pauline Epistles,15SV019,Course,Stefan Krauter,German,NT Vorlesung: Theologie der Paulusbriefe
Greek reading course: Female figures inthe New Testament. A philological andtheological reading,15SU010,Exercise Group,Florence Gantenbein,German,NT Lektüre: Frauenfiguren im Neuen Testament. Eine philologische und theologische
NT Research seminar,15SF010,Forschungsseminar,Stefan Krauter,German,NT Forschungsseminar
"KG SE: ""Witch Hunt"" in Switzerland: Background, Confessionalization, Peak and Decline (1450–1750)",22SS035,Seminar,Jan Andrea Bernhard,German,"KG SE: ""Hexenverfolgung"" in der Schweiz: Hintergründe, Konfessionalisierung,"
Divine Machines – An Introduction to Contemporary Thought in Trans- and Posthumanism#,23LB002,Proseminar,Johannes Corrodi Katzenstein,English,ST: Proseminar Philosophy of Religion
ST: Grundkurs Hermeneutik,23LB005,Course,Michael Nathan Goldberg,German,ST: Basic Course Hermeneutics
HE: Tutorial Hermeneutics,23LB021,Tutorat,Michael Nathan Goldberg,German,HE: Tutorat Hermeneutik
ST/PT Seminar Dogmatics: Sanctification,23SS035,Seminar,Ralph Kunz,German,ST Seminar Dogmatik/ PT Uebung Grundwissen: Heiligung
ST Systematic Theology: Colloquium for doctoral and post-doctoral students,23SD015,Colloquium,Matthias D. Wüthrich,German,ST: Systematisches Doktorandenkolloquium
ST: Doctoral Student's Colloquium in Systematic Theology,23SD016,Colloquium,Christiane Tietz,German,ST: Systematisch-theologisches Doktorandenkolloquium
ST: Philosophical-theological research seminar,23SF010,Forschungsseminar,Matthias D. Wüthrich,German,ST: Philosophisch-theologisches Forschungsseminar
PT Lecture: Spiritual Care,24LB003,Course,Dörte Gebhard,German,PT: Pastoral Care
PT Übung: Seelsorge-Übung für Theologiestudierende,24SU004,Exercise Group,Markus Naegeli,German,PT: Pastoral care exercise for Spring semester theology students 2021
PT Research Seminar,24SF014,Forschungsseminar,Ralph Kunz,German,PT: Praktisch-theologisches Forschungsseminar
Master Thesis in Systematics and Evolution,BIO511,Master Paper,Rodrigo Camara Leret,"English, German",BIO 511 Master Thesis in Systematics and Evolution
Research Internship in Systematic Botany,BIO761,Praktikum,Rodrigo Camara Leret,"English, German",BIO 761 Research Internship in Systematic Botany
Botanical half day excursions (WS),BIO237,Field Trip,Heike Hofmann,German,BIO 237 Botanical half day excursions (WS)
Doktoratskolloquium (M. Mahlmann),IUS_AD12,Colloquium,Matthias Mahlmann,German,Doktoratskolloquium (M. Mahlmann)
Masterarbeit,255-MAa,Master Paper,N/A,German,Master's Thesis
Research Seminar: Current Challenges in Organic Chemistry,CHE814.1,Seminar,Laurent Bigler,English,CHE 814 Research Seminar: Current Challenges in Organic Chemistry
ST Ethics: Researchkolloquium,23SD108,Colloquium,Michael Coors,German,ST Ethik: Doktoranden- und Habilitandenkolloquium
IE Seminar: Ethische Herausforderungen am Anfang des Lebens in Christentum und Islam,27SS002,Seminar,Leonie Abstein,German,IE Seminar: Ethische Herausforderungen am Anfang des Lebens in Christentum und
Neurologie,ZNEUR_M2,Course,Hans Heinrich Jung,German,"Individual Examination Master 2.1, theoretical, dental and medical Basics"
Biostatistik,ZBIOSTA,Course,Malgorzata Roos,German,"Individual Examination Master 1.1, theoretical, dental and medical Basics"
Arbeitsergonomie am zahnärztlichen Unit,Z_ERGO,Course,René Zenhäusern,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Praktische Übungen in Arbeitsergonomie am Behandlungsstuhl,ZERGOB31,Exercise Group,Rebekka Krämer,German,"Preventive Dentistry, Clinical Assessment and Diagnostics, Course 1"
Training in Neuroscience Laboratory Research,BIO621,Praktikum,N/A,English,BIO 621 Training in Neuroscience Laboratory Research
Research internship in Virology,BIO382,Praktikum,Cornel Fraefel,English,BIO 382 Research internship in Virology
Mass spectrometry-based metabolomics – from theory to practice,BIO637,Lecture with Practical Exercises,Maria Domenica Moccia,English,BIO 637 Mass spectrometry-based metabolomics – from theory to practice
Next Generation Sequencing applied to Metagenomics,BIO638,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 638 Next Generation Sequencing applied to Metagenomics
Transcriptomics RNA-seq course,BIO675,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 675 Life Sciences: Transcriptomics RNA-seq course
CRISPR-Cas: A versatile and scalable gene perturbation system for Genetic Screens,BIO695,Lecture with Practical Exercises,Zacharias Kontarakis,English,BIO 695 CRISPR-Cas: A versatile and scalable gene perturbation system for Genetic
Block course: Introduction to social- scientific approaches to the study of religion\s,41LM001,Block Course,Dorothea Lüddeckens,German,Introduction to social-scientific approaches to the study of religion\s
"Independent study: Hinduism, Zoroastrianism and Buddhism in contemporary societies",41LM003,Selbstän. Lektüre mit Leistungsnachweis,Dorothea Lüddeckens,German,"Hinduism, Zoroastrianism and Buddhism in contemporary societies"
"Independent study: Judaism, Christianity and Islam in contemporary societies",41LM004,Selbstän. Lektüre mit Leistungsnachweis,Rafael Walthert,German,"Judaism, Christianity and Islam in contemporary societies"
Independent study: Current theories on society and religion,42LM003,Selbstän. Lektüre mit Leistungsnachweis,Rafael Walthert,German,Current theories on society and religion
Independent study: Theories of society and religion in Asia and Middle East,42LM004,Selbstän. Lektüre mit Leistungsnachweis,Rafael Walthert,German,Theories of society and religion in Asia and Middle East
Independent study: Debates and challenges in Muslim societies and communities,43LM002,Selbstän. Lektüre mit Leistungsnachweis,Rafael Walthert,German,Debates and Challenges in Muslim Societies and Communities
Independent study: Women in Islam,43LM003,Selbstän. Lektüre mit Leistungsnachweis,N/A,German,Women in Islam
Independent study: Digital religion,43LM004,Selbstän. Lektüre mit Leistungsnachweis,Dorothea Lüddeckens,German,Digital religion
SWRW research colloquium: Social scientific study of religions,55SF011,Forschungsseminar,Dorothea Lüddeckens,German,SWRW Research colloquium: Social- scientific study of religions
Research colloquium: Systematic- theoretical study of religion\s,53SF011,Forschungsseminar,Rafael Walthert,German,STRW Research colloquium: Systematic- theoretical study of religion\s
Master’s Day 1: Introducing the Master’s Programmes in the Study of Religions,58LM001,Sonstiges,Dorothea Lüddeckens,German,Master’s Day 1: Introducing the Master’s Programmes in the Study of Religions
Studium Digitale,SD,Course,Abraham Bernstein,German,Studium Digitale
Methoden der Digital Humanities: Relationale Datenbanken,DH_2,Block Course,N/A,German,Methoden der Digital Humanities: Relationale Datenbanken
Methoden der Digital Humanities: Automatische Texterkennung (OCR),DH_3,Block Course,N/A,German,Methoden der Digital Humanities: Automatische Texterkennung (OCR)
Methoden der Digital Humanities: Digitale Editionen,DH_4,Block Course,N/A,German,Methoden der Digital Humanities: Digitale Editionen
Zusätzliche Praktikumsversuche,PHY271.1,Praktikum,Matthias Hengsberger,German,PHY 271 Additional Lab Experiments
Forschungspraktikum Elementarteilchenphysik,PHY463.1,Praktikum,Lea Caminada,German,PHY 463 Research internship astro (particle) physics
Advanced Topics in General Relativity and Gravitational Waves,PHY529.1,Course,Philippe Jetzer,English,PHY 529DP Advanced Topics in General Relativity and Gravitational Waves
Tutorat,PHY261.1,Tutorat,Matthias Hengsberger,German,PHY 261 Tutorial
Vorlesungsassistenz Physik I,PHY262.1,Sonstiges,Matthias Hengsberger,German,PHY 262 Teaching Assistantship Physics I
Forschungs-Proposal für eine Masterarbeit,PHY403.1,Schriftlicher Beitrag,Christof Aegerter,German,PHY 403 Research Proposal for a Master's Thesis
Übungen Mathematische Methoden für Physik I,PHY312.2,Exercise Group,Philippe Jetzer,"German, English",PHY 312 Mathematical Methods of Physics I
"Summer school Physics graduate school, first year",PHY701DP,Sonstiges,Christof Aegerter,German,"PHY 702DP Summer school Physics graduate school, second year"
Master Thesis Immunology,BIO515,Master Paper,Isabelle Arnold Wallén,English,BIO 515 Master Thesis Immunology
Teaching advanced microscopy for Life Science,BIO691,Block Course,Joana Delgado Martins,English,BIO 691 Teaching advanced microscopy for Life Science
Research Internship Immunology,BIO381,Praktikum,Isabelle Arnold Wallén,English,BIO 381 Research Internship Immunology
Everyday Cultures - Exemplary Topics,506-026a,Selbststudium mit Leistungsnachweis,Natalie Borsy,German,Everyday Cultures – Exemplary Topics
Popular Literature and Media - Exemplary Topics,506-036a,Selbststudium mit Leistungsnachweis,Natalie Borsy,German,Popular Literature and Media – Exemplary Topics
Digitale Codes – Identitäten – Räume: Post – Digital – Narratives,506-049a,Seminar,Catherine Eisendle,German,Digital Codes – Identities –Spaces: Post – Digital – Narratives
Praktikum intern (90h),506-063a,Praktikum,Natalie Borsy,German,Internal Traineeship (90h)
Praktikum intern (180h),506-066a,Praktikum,Natalie Borsy,German,Internal Traineeship (180h)
Praktikum extern (180h),506-069a,Praktikum,Natalie Borsy,German,External Traineeship (180h)
Praktikum intern (90h),506-563a,Praktikum,Natalie Borsy,German,Internal Traineeship (90h)
Praktikum intern (180h),506-566a,Praktikum,Natalie Borsy,German,Internal Traineeship (180h)
Praktikum extern (180h),506-569a,Praktikum,Natalie Borsy,German,External Traineeship (180h)
Bachelorarbeit,506-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis
Masterarbeit,506-MAa,Master Paper,N/A,German,Master's Thesis
Tutorat durchführen bei Niederländisch 1,360l122a,Tutorat,Patrick Schetters,German,Conduct tutorial for Niederländisch 1
Einblicke in die Lehrpraxis,506l514a,Selbststudium mit Leistungsnachweis,Philosophische Fakultät N.N.-Dozent,German,Teaching Practice
Orale Histologie und Physiologie,Z_OSD3.1,Course,Anamaria Balic,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Pathologie und Pathophysiologie der Zähne und des Zahnhalteapparates,Z_OSD3.2,Course,Anamaria Balic,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Mikroskopie-Kurs in Histologie und Histopathologie der Zähne und des Zahnhalteapparates (HS &amp; FS),ZMHZHH3,Exercise Group,Anamaria Balic,German,Microscopy Course in Histology and Histopathology of Teeth and Periodontium
Rekonstruktive Zahnmedizin I,Z_REK3.1,Course,Ronald Jung,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Okklusion und Unterkieferbewegungen,Z_KFS3.1,Course,Rengin Attin,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Propädeutischer Kurs in Aufwachstechnik,Z_OKKL2,Exercise Group,Tonino Di Bello,German,Propaedeutic Course in Occlusion Analysis
Propädeutischer Kurs in Okklusionsanalyse,Z_OKKL1,Exercise Group,Rengin Attin,German,Propaedeutic Course in Occlusion Analysis
rekonstruktive Zahnmedizin II,ZREK1.1,Course,Tonino Di Bello,German,"Individual Examination Master 1.1, theoretical, dental and medical Basics"
Praktischer und interdisziplinärer Kurs in computerunterstütze Zahnmedizin,ZIDKCZM1,Kurs,Andreas Bindl,German,"Practical &amp; Interdisciplinary Course in Computer-assisted Dentistry, Part 1"
"Problemorientiertes Lernen, theoretischeBearbeitung eines multifaktoriellen,orofazialen Krankheitsbildes",Z_POLB3,Exercise Group,Fabienne Bosshard,German,"Individual Examination Bachelor 3.1, theoretical, dental and medical Basics"
Kinderzahnmedizin und dentale Traumatologie,ZKZM_M2,Course,Blend Hamza,German,"Individual Examination Master 2.1, theoretical, dental and medical Basics"
Klinischer Kurs in Kinderzahnmedizin,ZKI_M2.1,Klinischer Kurs,Blend Hamza,German,Clinical Course in Pediatric Dentistry
Schulzahnärztlicher Dienst,ZKI_M2.2,Klinischer Kurs,Blend Hamza,German,Clinical Course in Pediatric Dentistry
Klinisch propädeutischer Kurs in rekonstruktiver Zahnmedizin - Phantom,REKO1,Kurs,Tim Joda,German,Propaedeutic Course in Reconstructive Dentistry
Technisch propädeutischer Kurs in rekonstruktiver Zahnmedizin,REKO3,Kurs,Tonino Di Bello,German,Propaedeutic Course in Reconstructive Dentistry
Ringvorlesung Implantologie,ZIMP_M2,Course,Marc Balmer,German,"Individual Examination Master 2.1, theoretical, dental and medical Basics"
Rekonstruktiver Zahnmedizin IV,ZREKO2.1,Course,Damiano Marco C. Frigerio,German,"Individual Examination Master 2.1, theoretical, dental and medical Basics"
Praktisch &amp; interdisziplinärer Kurs in computerunterstützter Zahnmedizin,ZIDKCZM2,Kurs,Stefan Baumgartner,German,"Practical &amp; Interdisciplinary Course in Computer-assisted Dentistry, Part 2"
Start! Teaching while studying (DE),TUT_1,Seminar,Jenny Ammann,German,Start! Teaching while studying
Start! Teaching while studying (EN),TUT_1,Seminar,Jenny Ammann,English,Start! Teaching while studying
Mündliche Masterprüfung,598-501a,Selbststudium mit Leistungsnachweis,N/A,German,Oral Exam (Master's)
Masterarbeit,598-MAa,Master Paper,N/A,German,Master's Thesis
Mündliche Masterprüfung,599-501a,Selbststudium mit Leistungsnachweis,N/A,German,Oral Exam (Master's)
Masterarbeit,599-MAa,Master Paper,N/A,German,Master's Thesis
Zomercursus,360l129a,Block Course,Patrick Schetters,German,Summer School
Mündliche Prüfung,600-002a,Selbststudium mit Leistungsnachweis,N/A,German,Oral Exam (Bachelor's)
Gruppe 03: Recht und Gesellschaft,600-007a,Seminar,Eveline Szarka,German,Introductory Course I
Gruppe 02: Proseminar 3,600-009a,Seminar,Nikolas Hächler,"German, English",Introductory Course II
Gruppe 02: Schreibübung,600-009a,Exercise Group,Brigitta Bernet,German,Introductory Course II
How to do things. Rezepte und Handbücher in der Geschichte des Wissens (1500- 1800),600-017a,Seminar,Eveline Szarka,German,Modern History 3
Von Summerhill nach Trichtenhausen. Geschichte der antiautoritären Erziehung,600-018a,Seminar,Brigitta Bernet,German,Modern History 4
Interdisziplinäres Seminar zurPlanung komplexer zahnärztlicherBehandlungen,FALLM21,Colloquium,Andreas Ender,German,"Interdisciplinary Course, Planning of Complex Dental Treatments, Part 1"
Synoptischer Kurs in rekonstruktiver Zahnmedizin,EKO2.2,Kurs,Tonino Di Bello,German,Clinical Course in Reconstructive Dentistry
Kolloquium zum synoptischen Kurs in rekonstruktiver Zahnmedizin,EKO2.3,Colloquium,Adrian Bösch,German,Clinical Course in Reconstructive Dentistry
Start! Teaching beyond studying (DE),TUT_2,Seminar,Jenny Ammann,German,Start! Teaching beyond studying
Start! Teaching beyond studying (EN),TUT_2,Seminar,Jenny Ammann,English,Start! Teaching beyond studying
Techniques de la traduction (B2/C1),390-013a,Sprachkurs,Dagmar Wieser,French,French Language (B2/C1) - Translation (German-French)
Les langages de l'amour (analyse et exercices stylistiques),390-509a,Exercise Group,Dagmar Wieser,French,Style Practice
Blockkurs: Islam im «Fokus»: audio- visuelle Perspektiven auf Religion,55SS021,Block Course,Dominik Müller,German,SWRW MA-Seminar: Contemporary Religion 2
La liste Goncourt 2024,390l572a,Colloquium,Thomas Klinkert,French,"The 2024 ""Goncourt List"""
Monika Rinck - Kolloquium zur Zürcher Poetikvorlesung,360l133a,Colloquium,Anatol Heller,German,Monika Rinck - Colloquium to the Zurich Poetics Lecture
Forschungsprojekt Skandinavistik: Selbststudieneinheit,360l611a,Selbststudium mit Leistungsnachweis,Klaus Müller-Wille,German,Research Project Scandinavian Studies
"Langue française (C2), volet 2",390-508b,Sprachkurs,Marine Borel,French,French Language (C2)
Geschlechterforschung in der Praxis (Schriftliche Arbeit),245-650a,Selbststudium mit Leistungsnachweis,Bettina Dennerlein,German,Gender Studies in Practice (Written Paper)
"Gesellschaftspolitische Themen, Debatten &amp; Diskurse (Schriftliche Arbeit)",245-651a,Selbststudium mit Leistungsnachweis,Bettina Dennerlein,German,"Socio-Political Topics, Debates and Discourses (Written Paper)"
Gender-wissenschaftliche Forschungskompetenz (Seminararbeit),245-700a,Selbststudium mit Leistungsnachweis,Bettina Dennerlein,German,Gender Research Competence (Seminar Paper)
Fachwissen Gender Studies im Überblick (Ma-Prüfung),245-701a,Selbststudium mit Leistungsnachweis,Bettina Dennerlein,German,Advanced Survey of Gender Studies (Ma- Exam)
Präsentationskompetenz,245-801a,Selbststudium mit Leistungsnachweis,Bettina Dennerlein,German,Presentation of the Master's Thesis
Masterarbeit,245-MAa,Master Paper,N/A,German,Master's Thesis
"Temi, forme, modi, teorie e storie di letteratura italiana (gruppo 1)",410-006a,Seminar,Tatiana Crivelli Speciale,Italian,Introduction to Textual Analysis and Literary Criticism
"Praktikum auf der Klinik für Mund-, Kiefer- und Gesichtschirurgie",Z_OCH3.2,Klinischer Kurs,David Johannes Balun,German,Propaedeutic Clinical Course in the Clinic of Oral Surgery
Réalisations de recherche en linguistique,390-507a,Praktikum,Martin-Dietrich Glessgen,French,Achievements in Linguistic Research
Allgemeine Chirurgie,ZACH,Course,David Johannes Balun,German,"Individual Examination Master 1.1, theoretical, dental and medical Basics"
Mémoire de Bachelor,390-BAa,Bachelor Paper,N/A,French,Bachelor's Thesis
Nel mondo della ricerca,410-012a,Sonstiges,Tatiana Crivelli Speciale,Italian,In the World of Research
Competenze integrate in linguistica (gruppo 1),410-501a,Selbststudium mit Leistungsnachweis,Michele Loporcaro,Italian,Integrated Skills in Linguistics
Competenze integrate in linguistica (gruppo 2),410-501a,Selbststudium mit Leistungsnachweis,Francesco Gardani,Italian,Integrated Skills in Linguistics
Competenze integrate in letteratura (gruppo 1),410-502a,Selbststudium mit Leistungsnachweis,Tatiana Crivelli Speciale,Italian,Integrated Skills in Literature
Competenze integrate in letteratura (gruppo 2),410-502a,Selbststudium mit Leistungsnachweis,Johannes Bartuschat,Italian,Integrated Skills in Literature
Contatti con il mondo scientifico,410-504a,Sonstiges,Tatiana Crivelli Speciale,Italian,Contacts with the Scientific World
Stage esteso,410-505a,Praktikum,Tatiana Crivelli Speciale,Italian,Extended Internship
Stage,410-506a,Praktikum,Tatiana Crivelli Speciale,Italian,Internship
Tesi di Bachelor,410-BAa,Bachelor Paper,N/A,Italian,Bachelor's Thesis
Niederländisch 3,360-520a,Exercise Group,Patrick Schetters,Dutch,Advanced Dutch
Niederländisch 1,360-303a,Exercise Group,Patrick Schetters,"German, Dutch",Introduction to Dutch Linguistics
Advanced Topics in Yiddish LinguisticsAdvanced Topics in Yiddish Linguistics,360l553a,Exercise Group,Guido Seiler,"German, English",Advanced Topics in Yiddish Linguistics
Practical workshop course for chemistry students,CHE724.1,Praktikum,Hanspeter Stalder,German,CHE 724 Practical workshop course for chemistry students
Orale Pathologie,ZPATM1.1,Course,David Johannes Balun,German,"Individual Examination Master 1.1, theoretical, dental and medical Basics"
Klinischer Kurs in Oralchirurgie,Z_OCH4.1,Praxiskurs,David Johannes Balun,German,Propaedeutic Clinical Course in oral Surgery
Pathologie des Kauapparates inbildgebenden Verfahren,_M2,Course,Fabienne Bosshard,German,"Individual Examination Master 2.1, theoretical, dental and medical Basics"
Core Readings MAMES,278-504a,Selbststudium mit Leistungsnachweis,Helena Hof,German,Core Readings MAMES
Klinischer Kurs in Oralchirurgie,Z_OCHM2,Klinischer Kurs,David Johannes Balun,German,Clinical Course in Oral Surgery
Comprehensive Traineeship / Summer School: Language,Traineeship,Praktikum,Helena Hof,German,Comprehensive Traineeship / Summer School: Language
Traineeship / Summer School: Language,Traineeship,Praktikum,Helena Hof,German,Traineeship / Summer School: Language
Comprehensive Traineeship / Summer School in MAMES,Traineeship,Praktikum,Helena Hof,German,Comprehensive Traineeship / Summer School in MAMES
Traineeship / Summer School in MAMES,Traineeship,Praktikum,Helena Hof,German,Traineeship / Summer School in MAMES
Master Thesis,278-MAa,Master Paper,Philosophische Fakultät N.N.-Dozent,German,Master's Thesis
Masterarbeit (Fortsetzung aus FS24),615-MAa,Colloquium,N/A,German,Master's Thesis
Research Project,BCH408,Praktikum,Amedeo Caflisch,"German, English",BCH 408 Research Project
Research Project,BCH412,Praktikum,Amedeo Caflisch,"German, English",BCH 412 Research Project
Masterarbeit (Fortsetzung aus FS24),620-MAa,Master Paper,N/A,German,Master's Thesis
Capstone: StatGuide – creating a digital platform for personalized methods education (Fortsetzung aus FS24),615k601a,Seminar,Florian Attinger,English,Capstone: StatGuide – creating a digital platform for personalized methods education
Vertiefung Theorien der Gender Studies,245-501a,Seminararbeit ohne Veranstaltung,N/A,German,Theories in Gender Studies (Consolidation)
Feministische Kapitalismuskritik,245k517a,Seminar,N/A,German,Feminist Critique of Capitalism
Demokratie und Care,245k620a,Seminar,N/A,German,Democracy and Care
Projektseminar,640-522a,Seminar,N/A,German,Project seminar
Introductory Course in Laboratory Animal Science (LTK Modul 1),BIO412,Kurs,Thorsten Buch,"German, English",BIO 412 Introductory Course in Laboratory Animal Science (LTK Modul 1)
Integrated knowledge in Biomedicine,BME520,Prüfung ohne Lehrveranstaltung,Lubor Borsig,English,BME 520 Integrated knowledge in Biomedicine
Research Internship in Biomedicine (6-12 weeks),BME300,Praktikum,Wolfgang Berger,English,BME 300 Research Internship in Biomedicine (6-12 weeks)
N/A,N/A,N/A,N/A,N/A,N/A
Principles of teaching in human physiology,BME682,Tutorat,N/A,English,BME 682 Principles of teaching in human physiology
Berufspraktikum,UWW161,Praktikum extern,Claudia Hegglin Braun,"German, English",UWW 161 Work Placement
