Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
Forschungslaboratorium Kulturanalyse 1,360-803a,Selbststudium mit Leistungsnachweis,N/A,German,Research Laboratory for Cultural Analysis 1,N/A,N/A,N/A,N/A
Forschungslaboratorium Kulturanalyse 2,360-804a,Selbststudium mit Leistungsnachweis,N/A,German,Research Laboratory for Cultural Analysis 2,N/A,N/A,N/A,N/A
Kulturanalytisches Forschungskolloquium,360-805a,Colloquium,Philosophische Fakultät N.N.-Dozent,German,PhD Research Colloquium Cultural Analysis,N/A,N/A,N/A,N/A
Masterarbeit,380-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Spin Geometry,MAT782.1,Course,N/A,English,MAT 782 Spin Geometry,Friday,Afternoon,15,17
Eine Woche Hospitation in einer privatenZahnarztpraxis während den Semesterferien,ZPRAX_B,Praxiskurs,N/A,German,Internship Dental Clinic,N/A,N/A,N/A,N/A
Leben Schreiben: Ethnologische undliteraturwiss. Perspektiven,721k758a,Seminar,N/A,German,Writing Lives: Perspectives from Anthr. and Literary Studies,N/A,N/A,N/A,N/A
Schriftliche Arbeit zur Dynamik sprachlicher Vielfalt,272-009a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Dynamics of Linguistic Diversity,N/A,N/A,N/A,N/A
Schriftliche Arbeit zur Indogermanistik,272-010a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Indo-European Linguistics,N/A,N/A,N/A,N/A
Schriftliche Arbeit zu Sprache und kognitiven Prozessen,272-011a,Selbststudium mit Leistungsnachweis,N/A,German,Written Paper in Language and Cognitive Processes,N/A,N/A,N/A,N/A
Schriftliche Arbeit zur Sprachentwicklung,272-012a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language Development,N/A,N/A,N/A,N/A
Schriftliche Arbeit zu Sprache im Kontext,272-020a,Selbststudium mit Leistungsnachweis,N/A,"German, English",Written Paper in Language in Context,N/A,N/A,N/A,N/A
Projektarbeit,272-520a,Sonstiges,N/A,"German, English",Assessed Work,N/A,N/A,N/A,N/A
Doktoratskolloquium (Dusinberre),600G118a,Colloquium,Martin Dusinberre,German,Doctoral Colloquium (Dusinberre),N/A,N/A,N/A,N/A
Capstone: StatGuide – creating a digital platform for personalized methods education,615l603a,Seminar,"Florian Attinger, Yves Claude Bruchez, Benjamin Schlegel",English,Capstone: StatGuide – creating a digital platform for personalized methods education,N/A,N/A,N/A,N/A
Bachelorarbeit,360-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis,N/A,N/A,N/A,N/A
Masterarbeit,360-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Bachelorarbeit,370-BAa,Bachelor Paper,N/A,German,Bachelor's Thesis,N/A,N/A,N/A,N/A
Masterarbeit,370-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Mechanismen der kindlichen Sprachentwicklung,272-507a,Seminar,N/A,"German, English",Mechanisms in Child Language Development,N/A,N/A,N/A,N/A
Linguistische Theorie in evolutionärer Perspektive,272-510a,Seminar,N/A,"German, English",Linguistic Theory in Evolutionary Perspective,N/A,N/A,N/A,N/A
Statistische Modellierung der Sprachdynamik,272-506a,Exercise Group,N/A,"German, English",Statistical Modeling of Language Dynamics,N/A,N/A,N/A,N/A
Feldforschung: Elizitationstechniken,272-513a,Exercise Group,N/A,"German, English",Field Methods: Elicitation Techniques,N/A,N/A,N/A,N/A
Strukturen in Sprachfamilien und Spracharealen,272-517a,Seminar,N/A,"German, English",Structures in Language Families and Areas,N/A,N/A,N/A,N/A
Sprache und Kognition,272-524a,Seminar,N/A,"German, English",Language and Cognition,N/A,N/A,N/A,N/A
Sprachverarbeitung,272-525a,Seminar,N/A,"German, English",Language Processing,N/A,N/A,N/A,N/A
Forschungskolloquium (Condrau),600-517a,Colloquium,Flurin Condrau,"German, English",Research Colloquium 1,N/A,N/A,N/A,N/A
Forschungskolloquium (Lin),600-517a,Colloquium,Yi-Tang Lin,English,Research Colloquium 1,N/A,N/A,N/A,N/A
Forschungskolloquium (Dusinberre),600-517a,Colloquium,Martin Dusinberre,English,Research Colloquium 1,N/A,N/A,N/A,N/A
Excursion:EastAsianArtCollectionsin the Netherlands,642l031a,Field Trip,Ewa Machotka,"English, German",Excursion:East Asian Art Collections in the Netherlands,N/A,N/A,N/A,N/A
Bachelorarbeit,640-BAa,Bachelor Paper,Bärbel Küster,German,Bachelor's Thesis,N/A,N/A,N/A,N/A
Masterarbeit,640-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Masterarbeit,642-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
Masterarbeit,645-MAa,Master Paper,N/A,German,Master's Thesis,N/A,N/A,N/A,N/A
"Klinischer Kurs: Einblick in die Anästhesie am Stadtspital Zürich, Triemli",ANA24001,Kurs,"Nicole Hilber, Eckhard Mauermann",German,Klinischer Kurs: Einblick in die Anästh,N/A,N/A,N/A,N/A
LERU Theology &amp; Religious Studies Group,14SS042,Seminar,Konrad Schmid,English,LERU Theology &amp; Religious Studies Group,N/A,N/A,N/A,N/A
Von van Eyck bis Rubens. Flämische Malerei im räumlichen Kontext,640l047a,Field Trip,David Ganz,German,From van Eyck to Rubens. Flemish painting in a spatial context,N/A,N/A,N/A,N/A
Dialogues on Art and Modernism in Brazil,645l511a,Exercise Group,Charlotte Matter,English,Dialogues on Art and Modernism in Brazil,N/A,N/A,N/A,N/A
KU-UZH Joint Workshop in East Asian ArtHistory 2024,642l032a,Praktikum,Ewa Machotka,English,KU-UZH Joint Workshop in East Asian Art History 2024,N/A,N/A,N/A,N/A
