Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
"Genetics, General Animal Breeding",.151_kg,Course,Claude Schelling,German,"Genetics, General Animal Breeding",Wednesday,Afternoon,13.0,15.0
"Animal Welfare, Animal Ethics, Ethology, Animal Husbandry",.152_tet,Course,Hanno Würbel,German,"Animal Welfare, Animal Ethics, Ethology, Animal Husbandry",Monday,Afternoon,13.0,15.0
Biochemestry I,.161_bc,Course,"Matthias Altmeyer, Raffaella Santoro",German,Biochemistry and Molecular Biology II,Monday,Morning,10.0,12.0
Molecular Biology II,.161_bm,Course,Michael O. Hottiger,German,Biochemistry and Molecular Biology II,Monday,Morning,8.0,10.0
Developmental Biology,.162_eb,Lecture with Practical Exercises,"Max Gassmann, Mariusz Pawel Kowalewski",German,Developmental Biology,Wednesday,Afternoon,15.0,17.0
Foundations of Physiology,.164_gp,Lecture with Practical Exercises,"Max Gassmann, Thomas Lutz, Anna Yulievna Bogdanova, Markus Thiersch",German,Foundations of Physiology,Tuesday,Morning,8.0,10.0
"Clinical Activities, External Clinic Day",.170_kt,Practical Training,"Anton Fürst, Ulrich T. Bleul, Christian Gerspach",German,"Clinical Activities, External Clinic Day",Tuesday,Morning,9.0,10.0
"Bacteriology, Mycology II",.240_bm,Lecture with Practical Exercises,"Sophia Johler-Ilic, Sarah Albini, Danai Nadja Etter, Hanna Marti, Sarah Nicole Schmitt",German,"Bacteriology, Mycology",N/A,N/A,N/A,N/A
Immunology,.251_im,Course,"Nicole Borel, Salomé Leibundgut-Landmann",German,"Immunology, Pathology",N/A,N/A,N/A,N/A
"Pathology, Immunopathology",.252_pa,Lecture with Practical Exercises,"Anja Kipar, Nicole Borel, Franco Guscetti, Udo Hetzel",German,"Immunology, Pathology",N/A,N/A,N/A,N/A
"Metabolism, Intermediary Metabolism, Water-Soluble Vitamins",.260_bc,Course,Michael O. Hottiger,German,Biochemistry II,N/A,N/A,N/A,N/A
Heart,.271_hz,Lecture with Practical Exercises,"Thomas Lutz, Hanspeter Nägeli, Colin Schwarzwald, Nicole Borel, Christian Gerspach, Mariusz Pawel Kowalewski, Enni Emilia Markkanen, Toni Glaus, Matthias Dennler, Thomas Gorr, Dolf Kümmerlen, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Heart, Circulatory System, Respiratory System",N/A,N/A,N/A,N/A
Respiratory System,.273_rsp,Lecture with Practical Exercises,"Christian Gerspach, Patrick Robert Kircher, Karl Nuss, Manuela Schnyder Gasparoli, Enni Emilia Markkanen, Toni Glaus, Johannes Vogel, Michael Weishaupt, Dolf Kümmerlen, Mirja Christine Nolff, Frauke Antje Seehusen, Rahel Jud Schefer, Julia Lechmann, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Heart, Circulatory System, Respiratory System",N/A,N/A,N/A,N/A
"Skin, Thermoregulation",.280_ht,Lecture with Practical Exercises,"Hanspeter Nägeli, Claude Favrot, Christian Gerspach, Manuela Schnyder Gasparoli, Thomas Gorr, Dolf Kümmerlen, Mirja Christine Nolff, Sarah Nicole Schmitt, Meret Wehrli Eser",German,"Skin, Thermoregulation",N/A,N/A,N/A,N/A
Parasiitology I,.285_p1,Lecture with Practical Exercises,"Manuela Schnyder Gasparoli, Hubertus Hertzberg, Ramon Eichenberger, Andreas Werner Öhm",German,Parasitology,N/A,N/A,N/A,N/A
Vetsuisse Clinic Days,.290_kt,Practical Training,N/A,German,Vetsuisse Clinic Days,N/A,N/A,N/A,N/A
Communication Basis,.295_km,Seminar,N/A,German,Kommunication Basis,N/A,N/A,N/A,N/A
Endocrinology,.462_end,Course,"Felicitas Sigrun Boretti Schär, Nadja Sieber-Ruckstuhl, Hannah Kristine Junge, Barbara Anna Marie Riond",German,Endocrinology,N/A,N/A,N/A,N/A
"Prophylactic Measures, Herd Health, Swine Medicine",.470_pr,Lecture with Practical Exercises,"Heinrich Bollwein, Colin Schwarzwald, Ulrich T. Bleul, Christian Gerspach, Karl Nuss, Dolf Kümmerlen, Barbara Willi Andris, Thomas Heinrich Echtermann, Anna Sophie Ramsauer",German,"Prophylactic Measures, Herd Health, Swine Medicine",N/A,N/A,N/A,N/A
Acute Abdomen,.481_aa,Tutorial,"Hanspeter Nägeli, Christian Gerspach, Mirja Christine Nolff, Michelle Amanda Jackson Berti, Meret Wehrli Eser",German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Lameness,.482_lf,Tutorial,"Antonio Pozzi, Karl Nuss, Felix Theiss","German, English","Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Performance Weakness,.483_sw,Tutorial,"Toni Glaus, Michael Weishaupt",German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Ataxia / Seizure Disorders,Ataxia,Tutorial,"Christian Gerspach, Frank Steffen, Katrin Melanie Beckmann",German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Polyuria / Polydipsia,Polyuria,Tutorial,"Felicitas Sigrun Boretti Schär, Nadja Sieber-Ruckstuhl, Barbara Anna Marie Riond, Jose Suarez Sanchez-Andrade",German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Pruritus / Alopecia,Pruritus,Tutorial,"Claude Favrot, Nina Fischer, Dolf Kümmerlen, Ana Rostaher, Hannah Kristine Junge",German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/",N/A,N/A,N/A,N/A
Focus Small Animals,.494_skt,Block Course,"Jean-Michel Hatt, Annette Liesegang, Thomas Lutz, Antonio Pozzi, Marcus Clauss, Patrick Robert Kircher, Carla Rohrer Bley, Manuela Schnyder Gasparoli, Frank Steffen, Simon Pot, Alessio Vigani, Toni Glaus, Sonja Sybille Hartnack, Fredi Janett, Peter Hendrik Kook, Stefanie Maria Ohlerth, Sebastian Patrick Arlt, Francesca Del Chicca, Matthias Dennler, Nina Fischer, Mirja Christine Nolff, Ana Rostaher, Claude Schelling, Barbara Willi Andris, Katrin Melanie Beckmann, Claudia Iannucci, Maya Kummrow, Andrea Claudia Major, Antonella Rampazzo, Barbara Steblaj","German, English",Focus Small Animals,N/A,N/A,N/A,N/A
Focus Farm Animals,.495_snt,Block Course,"Heinrich Bollwein, Annette Liesegang, Regula Bettschart-Wolfensberger, Ulrich T. Bleul, Christian Gerspach, Karl Nuss, Manuela Schnyder Gasparoli, Simon Pot, Sonja Sybille Hartnack, Fredi Janett, Hubertus Hertzberg, Dolf Kümmerlen, Claude Schelling, Sarah Albini, Thomas Heinrich Echtermann, Dragos Gabriel Scarlet, Doreen Zoller",German,Focus Farm Animals,N/A,N/A,N/A,N/A
Focus Horses,.496_spf,Block Course,"Heinrich Bollwein, Anton Fürst, Colin Schwarzwald, Regula Bettschart-Wolfensberger, Simon Pot, Sonja Sybille Hartnack, Fredi Janett, Stefanie Maria Ohlerth, Michael Weishaupt, Hubertus Hertzberg, Jan Kümmerle, Simone Katja Ringer, Brigitta Wichert Gruber, Felix Grimm, Ruth Herrmann Stierli, Michelle Amanda Jackson Berti, Hannah Kristine Junge, Antonella Rampazzo, Dragos Gabriel Scarlet, Jose Suarez Sanchez-Andrade, Felix Theiss, Meret Wehrli Eser, Andreas Werner Öhm",German,Focus Horses,N/A,N/A,N/A,N/A
"Laboratory, career profiles",.498_1lb,Block Course,"Max Gassmann, Michael O. Hottiger, Annette Liesegang, Hanspeter Nägeli, Roger Stephan, Nicole Borel, Salomé Leibundgut-Landmann, Urs Meyer, Manuela Schnyder Gasparoli, Sonja Sybille Hartnack, Brigitta Wichert Gruber, Sarah Albini, Barbara Anna Marie Riond, Kurt Tobler",German,Introduction in focus pathobiology and veterinary public health,N/A,N/A,N/A,N/A
"Basics of animal disease diagnostics, laboratory work, animal nutrition",.498_2lt,Block Course,"Annette Liesegang, Hanspeter Nägeli, Nicole Borel, Sonja Sybille Hartnack, Alexander Mathis, Dolf Kümmerlen, Brigitta Wichert Gruber, Sarah Albini, Julia Lechmann, Sarah Nicole Schmitt",German,Introduction in focus pathobiology and veterinary public health,N/A,N/A,N/A,N/A
"Basics in laboratory methods, data analysis",.498_3ld,Block Course,"Roger Stephan, Manuela Schnyder Gasparoli, Sonja Sybille Hartnack, Frauke Antje Seehusen, Julia Lechmann, Sarah Nicole Schmitt",German,Introduction in focus pathobiology and veterinary public health,N/A,N/A,N/A,N/A
Veterinary research and diagnostic topics,.498_4fd,Block Course,Brigitta Wichert Gruber,German,Introduction in focus pathobiology and veterinary public health,N/A,N/A,N/A,N/A
Focus Biomedical Research,.499_bmf,Block Course,"Thorsten Buch, Michael O. Hottiger, Thomas Lutz, Hanspeter Nägeli, Matthias Altmeyer, Urs Meyer, Raffaella Santoro, Enni Emilia Markkanen, Christelle Le Foll, Philippe Bugnon","German, English",Focus Biomedical Research,N/A,N/A,N/A,N/A
Master Thesis,.500_ma,Student Work,N/A,German,Master Thesis,N/A,N/A,N/A,N/A
Specific Project Discussion at DMMD,FWB105,Colloquium,Raffaella Santoro,German,Specific Project Discussion at DMMD,Wednesday,Morning,8.5,10.5
FTVT-Course,FWB81,Exercise Group,Dolf Kümmerlen,German,FTVT-Course,N/A,N/A,N/A,N/A
CABMM Scientific Seminar,FWB82,Exercise Group,N/A,German,CABMM Scientific Seminar,Thursday,Afternoon,12.25,13.0
Further Training Pathology: Oncology,FWB86,Seminar,"Franco Guscetti, Paula Grest, Udo Hetzel",German,Further Training Pathology: Oncology,Tuesday,Morning,7.5,8.25
Further Training Pathology: Internal Medicine of Domestic Animals,FWB87,Seminar,"Franco Guscetti, Paula Grest",German,Further Training Pathology: Internal Medicine of Domestic Animals,N/A,N/A,N/A,N/A
Foundations of Anatomy,.163_ga,Lecture with Practical Exercises,"Mariusz Pawel Kowalewski, Dragos Gabriel Scarlet",German,Foundations of Anatomy,Tuesday,Afternoon,13.0,15.0
Mantelstudium: Gesundheitserfahrungen interprofessionell,22MAS012,Course,"Nikola Biller-Andorno, Gerold Schneider, Tobias Eichinger, Anke Maatz",German,Elective Module: Health Experiences Interprofessional,Tuesday,Morning,8.0,12.0
Literature Seminar on Small Animal Reproction,FWB94,Seminar,Sebastian Patrick Arlt,German,Literature Seminar on Small Animal Reproduction,N/A,N/A,N/A,N/A
"""Digital History"" - neue Methoden für die Geschichtswissenschaft? (Fortsetzung aus HS23)",600-001a,Seminar,N/A,German,Methods and Theories,N/A,N/A,N/A,N/A
"Lordship, kingship and empire in the central middle ages (Fortsetzung aus HS23)",600-001a,Seminar,N/A,English,Methods and Theories,N/A,N/A,N/A,N/A
Ganz oben. Top wealth and the 1% in Switzerland since 1890 (Fortsetzung aus HS23),600-601a,Seminar,N/A,German,Social History and Economic History of the Modern World,N/A,N/A,N/A,N/A
Dienst und Care im Spätmittelalter (Fortsetzung aus HS23),600-512a,Seminar,N/A,German,Politics and Societies in the Medieval Period,N/A,N/A,N/A,N/A
History Writing and the Anthropocene: Earth Archives and Deep Pasts (Fortsetzung aus,600-516a,Seminar,N/A,German,Methods and Theories,N/A,N/A,N/A,N/A
Islands of History: Hawai‘i as Method (Fortsetzung aus HS23),600-516a,Seminar,N/A,German,Methods and Theories,N/A,N/A,N/A,N/A
Imperien: Politik und Gesellschaft von den Persern bis zu den Arabern (Fortsetzung aus,602-501a,Seminar,Felix Klaus Maier,German,Politics and Societies in the Ancient World,N/A,N/A,N/A,N/A
"Kolloquium für anwendungsorientierte, gynäkologische Forschung",GYN23001,Seminar,"Manuel Stucki, Isabell Diana Witzel",German,"Kolloquium für anwendungsorientierte, gynäkologische Forschung",N/A,N/A,N/A,N/A
Modernchinesisch: Schrift und Schreiben (Intensivkurs),280-011b,Language Course,Xiaobin Hu,Chinese,Modern Chinese: Script and Writing,Thursday,Morning,8.0,12.0
