Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module,Weekday,Daytime,Start Time,End Time
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virologie,.335_vr,Course,"Cornel Fraefel, Julia Lechmann, Anna Sophie Ramsauer",German,Virology,N/A,N/A,N/A,N/A
Anatomy Applied,.345_aa,Lecture with Practical Exercises,"Mariusz Pawel Kowalewski, Giuliano Mario Corte, Miguel Augusto Tavares Pereira",German,Anatomy applied,N/A,N/A,N/A,N/A
"Epidemiology, Biostatistics",.355_eb,Course,"Paul Torgerson, Sonja Sybille Hartnack","German, English","Epidemiology, Biostatistics",N/A,N/A,N/A,N/A
Communication in Challenging Situations,.365_kk,Seminar,Thomas Lutz,German,Communication,N/A,N/A,N/A,N/A
"Endocrinology, Metabolism",.370_en,Lecture with Practical Exercises,"Michael O. Hottiger, Thomas Lutz, Christian Gerspach, Patrick Robert Kircher, Mariusz Pawel Kowalewski, Enni Emilia Markkanen, Stefanie Maria Ohlerth, Felicitas Sigrun Boretti Schär, Thomas Gorr, Frauke Antje Seehusen, Nadja Sieber-Ruckstuhl, Hannah Kristine Junge, Barbara Anna Marie Riond",German,"Endocrinology, Metabolism",N/A,N/A,N/A,N/A
"Reproduction, Mammary Gland",.360_gem,Lecture with Practical Exercises,"Heinrich Bollwein, Anton Fürst, Thomas Lutz, Ulrich T. Bleul, Nicole Borel, Mariusz Pawel Kowalewski, Karl Nuss, Fredi Janett, Sebastian Patrick Arlt, Dolf Kümmerlen, Dragos Gabriel Scarlet",German,"Reproduction, Mammary Gland",N/A,N/A,N/A,N/A
"Central Nervous System, Sensory Organs",.350_zsi,Lecture with Practical Exercises,"Thomas Lutz, Hanspeter Nägeli, Colin Schwarzwald, Christian Gerspach, Urs Meyer, Frank Steffen, Simon Pot, Franco Guscetti, Omolara Olushola Ogunshola, Francesca Del Chicca, Dolf Kümmerlen, Frauke Antje Seehusen, Giuliano Mario Corte, Monika Hilbe, Antonella Rampazzo, Barbara Anna Marie Riond, Miriam Weisskopf",German,"Central Nervous System, Sensory Organs",N/A,N/A,N/A,N/A
Propaedeutics Practically,.375_pro,Exercise Group,Christian Gerspach,German,Propaedeutics Practically,N/A,N/A,N/A,N/A
Vetsuisse Clinic Days,.385_kt2,Exercise Group,Thomas Lutz,German,Vetsuisse Clinic Days,N/A,N/A,N/A,N/A
Small Animal Anaesthesia: Stand by Duty,1,Practical Training,Simone Katja Ringer,German,Small Animal Anaesthesia: Stand by Duty,N/A,N/A,N/A,N/A
Mid-Term-Evaluation,HD_MID,Examination,N/A,English,Mid-Term-Evaluation,N/A,N/A,N/A,N/A
Functional Foot Trimming in Cattle,004,Block Course,Karl Nuss,German,Functional Foot Trimming in Cattle,N/A,N/A,N/A,N/A
Evidence Based Complementary Medicine,FWB80,Block Course,N/A,German,Evidence Based Complementary Medicine,N/A,N/A,N/A,N/A
Vetsuisse Farm Animal Evening,70,Course,Christian Gerspach,German,Vetsuisse Farm Animal Evening,N/A,N/A,N/A,N/A
"Seminar small animal internal medicine, case based presentations",77,Seminar,Toni Glaus,German,"Seminar small animal internal medicine, case based presentations",N/A,N/A,N/A,N/A
Assistance in small animal surgery,78,Exercise Group,"Antonio Pozzi, Mirja Christine Nolff",German,Assistance in small animal surgery,N/A,N/A,N/A,N/A
in-vitro techniques in animal nutrition,79,Seminar,"Annette Liesegang, Brigitta Wichert Gruber",German,in-vitro techniques in animal nutrition,N/A,N/A,N/A,N/A
Colloquium in Pathology,FWB23,Colloquium,"Anja Kipar, Nicole Borel, Franco Guscetti",German,Colloquium in Pathology,Monday,Morning,10.25,11.0
Histopathology Seminar Joint Pathology Center,FWB24,Seminar,"Anja Kipar, Nicole Borel, Franco Guscetti, Paula Grest, Udo Hetzel, Monika Hilbe",German,Histopathology Seminar Joint Pathology Center,Wednesday,Morning,10.25,12.0
Selected Topics of Food Safety,FWB29,Colloquium,Roger Stephan,German,Selected Topics of Food Safety,Monday,Afternoon,13.0,14.0
Specific Project Discussion at DMMD,FWB34,Colloquium,Michael O. Hottiger,German,Specific Project Discussion at DMMD,Friday,Morning,8.5,10.5
Journal Club Diagnostic Imaging,FWB37,Colloquium,"Patrick Robert Kircher, Stefanie Maria Ohlerth",German,Journal Club Diagnostic Imaging,N/A,N/A,N/A,N/A
Epidemiological Guidance,FWB41,Colloquium,"Paul Torgerson, Sonja Sybille Hartnack, Simon Rodrigo Rüegg",German,Epidemiological Guidance,N/A,N/A,N/A,N/A
Literature Seminar: Surgery and Internal Medicine of Exotic Animals,FWB42,Seminar,"Jean-Michel Hatt, Marcus Clauss",German,Literature Seminar: Surgery and Internal Medicine of Exotic Animals,Tuesday,Morning,7.5,8.25
Current Topics of Oncology,FWB47,Block Course,Franco Guscetti,German,Current Topics of Oncology,N/A,N/A,N/A,N/A
Exotic Animals: Case Reports,FWB51,Colloquium,Jean-Michel Hatt,German,Exotic Animals: Case Reports,Monday,Afternoon,13.25,14.0
Exotics Club,71,Exercise Group,Jean-Michel Hatt,German,Exotics Club,N/A,N/A,N/A,N/A
"Practicals, Trainings and Courses",p,Practical Training,Thomas Lutz,German,"Practicals, Trainings and Courses",N/A,N/A,N/A,N/A
Night and Weekend Duties Small Animals,.491_kt,Exercise Group,Alessio Vigani,German,Night Duties and Weekend Duties,N/A,N/A,N/A,N/A
Night and Weekend Duties Large Animals,.492_nt,Exercise Group,Christian Gerspach,German,Night Duties and Weekend Duties,N/A,N/A,N/A,N/A
Night and Weekend Duties Horses,.493_pf,Exercise Group,N/A,German,Night Duties and Weekend Duties,N/A,N/A,N/A,N/A
Rotation Pathology,.510_pat,Exercise Group,"Anja Kipar, Nicole Borel, Franco Guscetti, Frauke Antje Seehusen, Paula Grest, Udo Hetzel, Monika Hilbe",German,Rotation Pathology,N/A,N/A,N/A,N/A
"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology",.520_cls,Exercise Group,"Regula Bettschart-Wolfensberger, Patrick Robert Kircher, Simon Pot, Stefanie Maria Ohlerth, Francesca Del Chicca, Matthias Dennler, Simone Katja Ringer, Ines Eva Lautenschläger, Antonella Rampazzo, Henning Richter, Barbara Steblaj, Jose Suarez Sanchez-Andrade",German,"Rotations Anesthesiology, Diagnostic Imaging, Ophthalmology",N/A,N/A,N/A,N/A
Rotations Small Animal Clinic,.530_kt,Exercise Group,"Jean-Michel Hatt, Antonio Pozzi, Claude Favrot, Carla Rohrer Bley, Frank Steffen, Stefan Unterer, Alessio Vigani, Toni Glaus, Peter Hendrik Kook, Sebastian Patrick Arlt, Felicitas Sigrun Boretti Schär, Nina Fischer, Mirja Christine Nolff, Ana Rostaher, Nadja Sieber-Ruckstuhl, Marco Baron Toaldo, Katrin Melanie Beckmann, Natalie Hofer, Claudia Iannucci, Rahel Jud Schefer, Maya Kummrow, Claudia Kümmerle-Fraune, Andrea Claudia Major, Valeria Sabina Meier, Claudia Müller",German,Rotations Small Animal Clinic,N/A,N/A,N/A,N/A
Rotations Farm Animal Clinic,.540_nt,Exercise Group,"Heinrich Bollwein, Ulrich T. Bleul, Christian Gerspach, Karl Nuss, Fredi Janett, Dolf Kümmerlen, Thomas Heinrich Echtermann, Dragos Gabriel Scarlet, Doreen Zoller",German,Rotations Farm Animal Clinic,N/A,N/A,N/A,N/A
Rotations Equine Clinic,.550_pf,Exercise Group,"Anton Fürst, Colin Schwarzwald, Jan Kümmerle, Dolf Kümmerlen, Michelle Amanda Jackson Berti, Hannah Kristine Junge, Felix Theiss, Meret Wehrli Eser",German,Rotations Equine Clinic,N/A,N/A,N/A,N/A
"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic",.572_knp,Exercise Group,"Colin Schwarzwald, Christian Gerspach, Patrick Robert Kircher",German,"Rotations Small Animal Clinic, Farm Animal Clinic, Equine Clinic",N/A,N/A,N/A,N/A
"Rotations Farm Animal Clinic, Equine Clinic",.574_np,Exercise Group,"Colin Schwarzwald, Christian Gerspach",German,"Rotations Farm Animal Clinic, Equine Clinic",N/A,N/A,N/A,N/A
"Rotations Small Animal Clinic, Equine Clinic",.576_kp,Exercise Group,"Colin Schwarzwald, Carla Rohrer Bley",German,"Rotations Small Animal Clinic, Equine Clinic",N/A,N/A,N/A,N/A
"Rotations Small Animal Clinic, Farm Animal Clinic",.578_kn,Exercise Group,"Christian Gerspach, Carla Rohrer Bley",German,"Rotations Small Animal Clinic, Farm Animal Clinic",N/A,N/A,N/A,N/A
Journal Club Equine Surgery,FW101,Seminar,"Anton Fürst, Jan Kümmerle, Michelle Amanda Jackson Berti, Felix Theiss",German,Journal Club Equine Surgery,N/A,N/A,N/A,N/A
Book Club Equine Surgery,FW102,Seminar,Jan Kümmerle,German,Book Club Equine Surgery,N/A,N/A,N/A,N/A
Field diagnostics - Knowledge transfer,W73,Block Course,Jean-Michel Hatt,German,Field diagnostics - Knowledge Transfer,N/A,N/A,N/A,N/A
Introduction to SPSS,W76,Exercise Group,Sonja Sybille Hartnack,English,Introduction to SPSS,N/A,N/A,N/A,N/A
Journal Club Anaesthesiology,FW95,Seminar,Simone Katja Ringer,German,Journal Club Anaesthesiology,N/A,N/A,N/A,N/A
Book Club Anaesthesiology,FW96,Seminar,Simone Katja Ringer,German,Book Club Anaesthesiology,N/A,N/A,N/A,N/A
Journal Club Equine Medicine,FW97,Seminar,"Colin Schwarzwald, Hannah Kristine Junge, Meret Wehrli Eser",German,Journal Club Equine Medicine,N/A,N/A,N/A,N/A
Book Club Equine Medicine,FW98,Seminar,"Colin Schwarzwald, Hannah Kristine Junge, Meret Wehrli Eser",German,Book Club Equine Medicine,N/A,N/A,N/A,N/A
Topic Rounds Equine Medicine,FW99,Seminar,"Colin Schwarzwald, Hannah Kristine Junge",German,Topic Rounds Equine Medicine,N/A,N/A,N/A,N/A
Current Problems in Pharmacology,FWB04,Colloquium,"Hanspeter Nägeli, Urs Meyer",German,Current Problems in Pharmacology,Wednesday,Morning,9.0,10.0
Further Training Seminaries Horses,FWB100,Seminar,"Colin Schwarzwald, Regula Bettschart-Wolfensberger, Michael Weishaupt, Jan Kümmerle, Simone Katja Ringer, Michelle Amanda Jackson Berti, Hannah Kristine Junge, Meret Wehrli Eser",German,Further Training Seminaries Horses,N/A,N/A,N/A,N/A
Journal Club Pathology,FWB103,Seminar,Anja Kipar,German,Journal Club Pathology,N/A,N/A,N/A,N/A
Further Training Pathology: Dermatology,FWB104,Seminar,"Paula Grest, Udo Hetzel",German,Further Training Pathology: Dermatology,N/A,N/A,N/A,N/A
Further Training Pathology: Equine Medicine,FWB107,Seminar,"Anja Kipar, Nicole Borel, Franco Guscetti, Paula Grest, Udo Hetzel, Monika Hilbe",German,Further Training Pathology: Equine Medicine,N/A,N/A,N/A,N/A
Further Training Pathology: Zoo Animals,FWB108,Seminar,"Anja Kipar, Nicole Borel, Franco Guscetti, Paula Grest, Udo Hetzel, Monika Hilbe",German,Further Training Pathology: Zoo Animals,N/A,N/A,N/A,N/A
Journal Club Cardiology,FWB111,Colloquium,Toni Glaus,German,Journal Club Cardiology,Wednesday,Morning,7.5,8.25
Specific Project Discussion at DMMD,FWB112,Meeting,Matthias Altmeyer,German,Specific Project Discussion at DMMD,Friday,Afternoon,13.0,15.0
Book Club Oncology,FWB114,Colloquium,Carla Rohrer Bley,German,Book Club Oncology,N/A,N/A,N/A,N/A
Current Aspects of Parasitological Research,FWB12,Seminar,Adrian Hehl,German,Current Aspects of Parasitological Research,Tuesday,Afternoon,16.25,17.0
Further Training: Small Animal Surgery: Morbidity and Mortality Rounds,FWB125,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery: Morbidity and Mortality Rounds,Tuesday,Morning,8.0,9.0
Further Training: Small Animal Surgery and Oncology: Case Discussion,FWB126,Colloquium,Carla Rohrer Bley,German,Further Training: Small Animal Surgery and Oncology: Case Discussion,Friday,Morning,8.0,9.0
Further Training: Small Animal Surgery and Radiology: Case Discussion,FWB127,Colloquium,"Antonio Pozzi, Patrick Robert Kircher",German,Further Training: Small Animal Surgery and Radiology: Case Discussion,N/A,N/A,N/A,N/A
Journal Club Small Animal Surgery,FWB128,Colloquium,Antonio Pozzi,German,Journal Club Small Animal Surgery,Thursday,Morning,8.0,9.0
Wednesday Seminar on Small Animal Surgery,FWB129,Colloquium,Antonio Pozzi,German,Wednesday Seminar on Small Animal Surgery,N/A,N/A,N/A,N/A
Parasitological-Diagnostic Case Discussions,FWB13,Seminar,"Manuela Schnyder Gasparoli, Ramon Eichenberger, Felix Grimm",German,Parasitological-Diagnostic Case Discussions,Monday,Morning,11.25,12.0
Professional ethics in veterinary medicine,FWB134,Seminar,Sonja Sybille Hartnack,German,Professional ethics in veterinary medicine,N/A,N/A,N/A,N/A
Intensive review session small animal internal medicine,FWB136,Seminar,Toni Glaus,German,Intensive review session small animal internal medicine,N/A,N/A,N/A,N/A
Further Training Parasitology,FWB137,Seminar,"Manuela Schnyder Gasparoli, Ramon Eichenberger, Felix Grimm",German,Further Training Parasitology,N/A,N/A,N/A,N/A
Von der Laborbank zum Pult und zurück ins Labor,FWB138,Seminar,Adrian Hehl,German,From bench to desk and back to the bench,N/A,N/A,N/A,N/A
Further Training Seminar: Parasitology,FWB14,Seminar,Adrian Hehl,German,Further Training Seminar: Parasitology,Tuesday,Afternoon,16.25,17.0
Current Problems in Biochemistry and Molecular Biology (Joint Research Meeting),FWB16,Colloquium,"Michael O. Hottiger, Massimo Lopes, Anne Müller, Achim Weber, Matthias Altmeyer, Raffaella Santoro, Alessandro Sartori, Lorenza Penengo, Pavel Janscak, Giancarlo Marra",German,Current Problems in Biochemistry and Molecular Biology  (Joint Research Meeting),Friday,Afternoon,12.25,13.25
Literature Seminar on Biochemistry and Molecular Biology,FWB18,Seminar,"Michael O. Hottiger, Matthias Altmeyer, Raffaella Santoro",German,Literature Seminar on Biochemistry and Molecular Biology,Tuesday,Afternoon,12.25,13.0
Virology Seminaries,FWB2,Seminar,Cornel Fraefel,German,Virology Seminaries,Friday,Afternoon,12.25,13.0
"Repair, Recombination, Replication",FWB5,Seminar,"Michael O. Hottiger, Hanspeter Nägeli, Alessandro Sartori",German,"Repair, Recombination, Replication",N/A,N/A,N/A,N/A
Literature Seminar: Laboratory Medicine and Clinical Research,FWB56,Seminar,"Regina Hofmann-Lehmann, Marina Luisa Michela Meli, Barbara Anna Marie Riond",German,Literature Seminar: Laboratory Medicine and Clinical Research,Monday,Afternoon,16.25,17.0
Current Problems of Laboratory Medicine and Clinical Research,FWB57,Seminar,"Regina Hofmann-Lehmann, Marina Luisa Michela Meli, Barbara Anna Marie Riond",German,Current Problems in Laboratory Medicine and Clinical Research,Monday,Afternoon,17.0,17.75
Seminaries on Farm Animals and Reproduction,FWB6,Seminar,"Heinrich Bollwein, Ulrich T. Bleul, Karl Nuss",German,Seminaries on Farm Animals and Reproduction,Tuesday,Afternoon,17.25,18.0
Literature Colloquium Clinic for Farm Animals,FWB62,Seminar,"Ulrich T. Bleul, Karl Nuss",German,Literature Colloquium Clinic for Farm Animals,Wednesday,Morning,7.5,8.0
Practical Biomedical Research,FWB64,Practical Training,"Michael O. Hottiger, Matthias Altmeyer, Raffaella Santoro",German,Practical Biomedical Research,N/A,N/A,N/A,N/A
Further Training Pathology: Ophthalmology,FWB85,Seminar,"Franco Guscetti, Paula Grest, Udo Hetzel",German,Further Training Pathology: Ophthalmology,Tuesday,Morning,7.5,8.25
Journal Club Oncology,FWB88,Colloquium,Carla Rohrer Bley,German,Journal Club Oncology,N/A,N/A,N/A,N/A
Seminar in interdisciplinary life science,WB141,Seminar,"Michael O. Hottiger, Raffaella Santoro",English,Seminar in interdisciplinary life science,N/A,N/A,N/A,N/A
