Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
"Masterarbeit ""Klinische Entwicklungspsychologie"" (G07)",200-MAa,Student Work,Lilly Shanahan,German,Master's Thesis
"Masterarbeit ""Methoden der Plastizitätsforschung"" (G08/G33)",200-MAa,Student Work,Nicolas Oliver Langer,German,Master's Thesis
"Masterarbeit ""Allgemeine Psychologie: Motivation"" (G09)",200-MAa,Student Work,Veronika Brandstätter-Morawietz,German,Master's Thesis
"Masterarbeit ""Arbeits- und Organisationspsychologie"" (G11)",200-MAa,Student Work,Martin Kleinmann,German,Master's Thesis
"Masterarbeit ""Angewandte Sozial- und Gesundheitspsychologie"" (G13)",200-MAa,Student Work,Urte Scholz,German,Master's Thesis
"Masterarbeit ""Sozialpsychologie"" (G14/G30)",200-MAa,Student Work,Johannes Ullrich,German,Master's Thesis
"Masterarbeit  ""Klinische Psychologie Kinder/Jugendliche und Paare/Familien"" (G15)",200-MAa,Student Work,Guy Bodenmann,German,Master's Thesis
"Masterarbeit ""Klinische Psychologie und Psychotherapie"" (G16)",200-MAa,Student Work,Ulrike Maria Barbara Ehlert,German,Master's Thesis
"Masterarbeit ""Gesundheitspsychologie des Kindes- und Jugendalters"" (G17)",200-MAa,Student Work,Markus Andreas Landolt,German,Master's Thesis
"Masterarbeit ""Psychopathologie und Klinische Intervention"" (G18/G26/G29)",200-MAa,Student Work,Andreas Maercker,German,Master's Thesis
"Masterarbeit ""Klinische Psychologie mit Schwerpunkt Psychotherapieforschung"" (G19)",200-MAa,Student Work,Birgit Watzke,German,Master's Thesis
"Masterarbeit ""Experimentelle Psychopathologie und Psychotherapie"" (G20)",200-MAa,Student Work,Birgit Kleim,German,Master's Thesis
"Masterarbeit ""Neuropsychologie sozialer Kognition"" (G31)",200-MAa,Student Work,Hennric Jokeit,German,Master's Thesis
"Masterarbeit „Entwicklung des Gehirns"" (G36)",200-MAa,Student Work,Nora M. Raschle,German,Master's Thesis
"Masterarbeit ""Differentielle Psychologie und Diagnostik"" (G37)",200-MAa,Student Work,Wiebke Bleidorn,German,Master's Thesis
"Masterarbeit ""Persönlichkeitspsychologie"" (G38)",200-MAa,Student Work,Christopher James Hopwood,German,Master's Thesis
"Masterarbeit ""Persönlichkeit und psychische Gsundheit im interkulturellen Kontext"" (G39)",200-MAa,Student Work,Amber Gayle Thalmayer,German,Master's Thesis
"Masterarbeit „Evolutionary Neuroscience of Language"" (G41)",200-MAa,Student Work,Martin Ernst Meyer,German,Master's Thesis
"Masterarbeit ""Consciousness Studies"" (G32)",200-MAa,Student Work,N/A,German,Master's Thesis
"Masterarbeit ""Kognitive und verhaltensbasierte Entscheidungswissen schaften"" (G40)",200-MAa,Student Work,Renato Frey,German,Master's Thesis
"Masterarbeit ""Sozial- und Wirtschaftspsychologie"" (G43)",200-MAa,Student Work,Jörg Alexander J. Gross,German,Master's Thesis
"Masterarbeit ""Angewandte Teamforschung"" (G44)",200-MAa,Student Work,Jan B. Schmutz-Henestrosa,German,Master's Thesis
Thematische Lektüre Bildung und Arbeitswelt,226k508a,Independent Study,N/A,"German, English",Subject-Specific Reading Education and Working Environment
Mentoring für die nächste Generation,MENT,Seminar,Moritz Daum,German,Mentoring für die nächste Generation
Master Thesis Quantitative Biology and Systems Biology,BIO513,Student Work,Christof Aegerter,"English, German",BIO 513 Master Thesis Quantitative Biology and Systems Biology
Modelling in Biology,BIO330,Block Course,Hubertina Maria Aegerter-Wilmsen,English,BIO 330 Modelling in Biology
Signal Transduction and Cancer,BIO244,Block Course,Konrad Basler,"German, English",BIO 244 Signal transduction and cancer
Research Internship in Molecular and Cellular Biology,BIO259,Practical Training,Konrad Basler,English,BIO 259 Research Internship in Molecular and Cellular Biology
Research Internship quantitative and systems Biology,BIO249,Practical Training,Konrad Basler,English,BIO 249 Research Internship in Quantitative and Systems Biology
DMLS Seminar,BIO616,Colloquium,Konrad Basler,English,BIO 616 DMLS Seminar
Research Internship in Developmental Biology and Genetics,BIO356,Practical Training,Konrad Basler,"English, German",BIO 356 Research Internship in Developmental Biology and Genetics
Colloquium on literature (Group seminar),BIO657,Colloquium,Konrad Basler,English,BIO 657 Colloquium on literature (Group seminar)
Joint Lab Meeting / Progress Seminar,Meeting,Colloquium,Konrad Basler,English,BIO 613 Joint Lab Meeting / Progress Seminar
Human Genetics,BIO388,Course,Wolfgang Berger,English,BIO 388 Human Genetics
Functional Assessment of Human Spinal Cord Injury,BIO248,Block Course,Armin Curt,English,BIO 248 Functional Assessment of Human Spinal Cord Injury
Colloquium for ongoing advances in infectious cell biology,BIO611,Seminar,Urs Greber,English,BIO 611 Colloquium for ongoing advances in infectious cell biology
Master Thesis in Virology,BIO514,Student Work,Urs Greber,"English, German",BIO 514 Master Thesis in Virology
Viruses and Hosts,BIO652,Seminar,Cornel Fraefel,English,BIO 652 Viruses and hosts
Research internship in Virology,BIO382,Practical Training,Cornel Fraefel,English,BIO 382 Research internship in Virology
Current topics in C. elegans research,BIO653,Seminar,Alex Hajnal,English,BIO 563 Current topics in C. elegans research
Mster Thesis in Genetics and Development,BIO503,Student Work,Alex Hajnal,"English, German",BIO 503 Master Thesis in Genetics and Development
Science Writing,BIO661,Seminar,George Hausmann,English,BIO 661 Science Writing
Cell Signaling,BIO245,Block Course,Hubert Hilbi,English,BIO 245 Cell Signaling
Master Thesis in Molecular and Cellular Biology,BIO501,Student Work,Darren Gilmour,English,BIO 501 Master Thesis in Molecular and Cellular Biology
Comparative Behavioural Neuroscience,BIO342,Lecture with Practical Exercises,Christopher Pryce,English,BIO 342 Comparative Behavioural Neuroscience
Mass spectrometry-based metabolomics – from theory to practice,BIO637,Lecture with Practical Exercises,Maria Domenica Moccia,English,BIO 637 Mass spectrometry-based metabolomics – from theory to practice
Next Generation Sequencing applied to Metagenomics,BIO638,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 638 Next Generation Sequencing applied to Metagenomics
Transcriptomics RNA-seq course,BIO675,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 675 Life Sciences: Transcriptomics RNA-seq course
Genetic variation analysis course,BIO694,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 694 Genetic variation analysis course
Master Thesis in Neurosciences,BIO506,Student Work,Esther Stoeckli,"English, German",BIO 506 Master Thesis in Neurosciences
Research Internship in Neurobiology (6-12 weeks),BIO383,Practical Training,Stephan Neuhauss,"English, German",BIO 383 Research Internship in Neurobiology (6-12 weeks)
Training in Neuroscience Laboratory Research,BIO621,Practical Training,Stephan Neuhauss,English,BIO 621 Training in Neuroscience Laboratory Research
Seminar in Neurosciences,BIO619,Seminar,Stephan Neuhauss,English,BIO 619 Seminar in Neurosciences
Introduction to Scientific Writing,BIO338,Other,Maarit Suomalainen,English,BIO 338 Introduction to Scientific Writing
Seminars in Bioinformatics: Methods and Emerging Solutions,BIO612,Colloquium,Mark D. Robinson,English,BIO 612 Seminars in Bioinformatics: Methods and Emerging Solutions
Functional Genomics (Vorlesung und Übung),BIO254,Lecture with Practical Exercises,Kentaro Shimizu,English,BIO 254 Functional Genomics
Neurobiology,BIO328,Block Course,Christian Grimm,English,BIO 328 Neurobiology
Introduction to Proteomics Data Analysis and Beyond,BIO641,Lecture with Practical Exercises,Jonas Grossmann,English,BIO 641 Introduction to Proteomics Data Analysis and Beyond
Ethics for Neuroscientists and Cancer Biologists,BIO646,Seminar,Jaqueline Scully,English,BIO 646 Ethics for Neuroscientists and Cancer Biologists
Writing for Neuroscientists,BIO647,Seminar,Simon Milligan,English,BIO 647 Writing for Neuroscientists
Crash Course in Statistics for Neuroscientists,BIO645,Seminar,Christoph Luchsinger,English,BIO 645 Crash Course in Statistics for Neuroscientists
Neuroimaging Block Course,BIO644,Seminar,Lars Michels,English,BIO 644 Neuroimaging Block Course
From Cells to Animals: Developmental cell biology,BIO347,Course,Alex Hajnal,English,BIO 347 Concepts in Developmental Biology: From Cells to Animals
DNA Next Generation Sequencing – from theory to practice,BIO680,Lecture with Practical Exercises,Anna Bratus-Neuenschwander,English,BIO 680 DNA Next Generation Sequencing – from theory to practice
Module title: The 3Rs and the Ethics of Animal Research,BIO664,Seminar,Paulin Jirkof,English,BIO 664 The 3Rs and the Ethics of Animal Research
Integrative –Omics practical course: From the transcriptome to the proteome,BIO393,Lecture with Practical Exercises,Jonas Grossmann,English,BIO 393: Integrative –Omics practical course: From the transcriptome to the proteome
Ethical issues in Human Genetics and Genomics,BIO662,Seminar,Anna Deplazes Zemp,English,BIO 662 Ethical issues in Human Genetics and Genomics
"Modern Concepts in Animal Development, Evolution and Disease",BIO326,Block Course,Konrad Basler,German,"BIO 326 Modern Concepts in Animal Development, Evolution and Disease"
Master Thesis Immunology,BIO515,Student Work,Burkhard Becher,English,BIO 515 Master Thesis Immunology
Research Internship Immunology,BIO381,Practical Training,Burkhard Becher,English,BIO 381 Research Internship Immunology
Teaching advanced microscopy for Life Science,BIO691,Block Course,Joana Raquel Delgado Martins,English,BIO 691 Teaching advanced microscopy for Life Science
Language attitudes (Continuation from last semester),440-123a,Seminar,N/A,English,Focus on Variation and Change
Usage-based approaches to language change (Continuation from last semester),440-123a,Seminar,N/A,English,Focus on Variation and Change
La variation linguistique des manuscrits médiévaux: l'exemple du Roman de Thebes,390-006a,Exercise Group,Marco Robecchi,French,Thematic Approaches
"Langue française (niveau avancé), Groupe 1",390-011a,Language Course,Dagmar Wieser,French,French Language (Advanced degree)
Note de synthèse,390-015a,Exercise Group,Marie Elisabeth Thérése Burkhardt,French,The Summary
"Philosopher à l'école, philosopher en ville (Séminaire)",390-501a,Seminar,Christina Vogel,French,Modern Literature: Didactics and Cultural Transfers
"Philosopher à l'école, philosopher en ville (Exercices)",390-501a,Exercise Group,Dagmar Wieser,French,Modern Literature: Didactics and Cultural Transfers
La linguistique comme soutien de l'enseignement du français langue étrangère,390-504a,Colloquium,Harald Völker,French,Teaching and Linguistics
Linguistique et philologie dans la trajectoire de la Revue de linguistique romane,390-506a,Colloquium,Marco Robecchi,French,Philology and Linguistics
"Langue française (C2), volet 1",390-508a,Language Course,Cyril Dubois,French,French Language (C2)
Allons à l'école! (Exercices),390-510a,Exercise Group,Marie Elisabeth Thérése Burkhardt,French,Culture and Communication
Grundlagen der Sinologie,280-001b,Exercise Group,Brigit Knüsel Adamec,German,Introduction to Sinology
Antikchinesisch I,280-020a,Language Course,Wolfgang Behr,German,Classical Chinese I
Antikchinesisch II,280-021a,Language Course,Annina Sara Fattor-Müller,German,Classical Chinese II
Seminar Spiritual Care FS24,25SS009,Seminar,Simon Peng-Keller,German,Seminar Spiritual Care FS24
Interdisciplinary Research Seminar Spiritual Care FS24,25SF010,Seminar,Simon Peng-Keller,German,Interdisziplinäres Forschungsseminar Spiritual Care FS24
Masterarbeit,160-MAa,Student Work,N/A,German,Master's Thesis
"D'Hercule à Méduse, des Amazones aux Troyens: les mythes antiques au Moyen Age",390k020a,Course,Laura Elisabeth Endress,French,"Hercules and Medusa, the Amazons and Troy: Antique Mythology in the Middle Ages"
Tendances du roman français contemporain,390k021a,Course,Thomas Klinkert,French,Trends in the Contemporary French Novel
Objectifs et méthodes de la philologie linguistique galloromane,390k023a,Course,Marguerite Dallas,French,Aims and Methods of Galloromance Linguistic Philology
Phonétique et prononciation,390k025a,Language Course,Cyril Dubois,French,Phonetics and Pronunciation
Le vodou dans l’imaginaire des écrivains haïtiens,390k026a,Course,Kettly Mars,French,Voodoo in the Imaginary of Haitian Writers (ETH)
Guiron le Courtois et la tradition du roman arthurien en prose,390k570a,Seminar,Fanny Maillet,French,Guiron le Courtois and the Tradition of Arthurian Prose Romances
Lydie Salvayre,390k571a,Seminar,Thomas Klinkert,French,Lydie Salvayre
Prolegomena (Linguistique – Linguistica - Lingüística),410-001a,Other,Stephan Schmid,German,Prolegomena (Linguistics)
Fondamenti di linguistica sincronica,410-003a,Seminar,Francesco Gardani,Italian,Introduction to Synchronic Linguistics
"Laboratorio di scrittura accademica, L-Z",410-008a,Exercise Group,Franca Strologo,Italian,Academic Writing (Italian)
Storia letteraria dalle Origini al Cinquecento,410-009a,Exercise Group,Franca Strologo,Italian,Italian Literature: from its Origins to the Cinquecento
Lingua italiana (C1),410-011a,Exercise Group,Franca Strologo,Italian,Italian Language (C1)
Dante : Vita Nuova,410-013a,Seminar,Johannes Bartuschat,Italian,Medieval and Renaissance Literature: Texts and Instruments
"Competenze integrate in letteratura, gruppo 1",410-502a,Independent Study,Tatiana Crivelli Speciale,Italian,Integrated Skills in Literature
La negazione in italo-romanzo,410k030a,Course,Chiara Zanini,Italian,Negation in Italo-Romance
Umanesimo volgare : Introduzione alla letteratura italiana del Quattrocento,410k032a,Course,Johannes Bartuschat,Italian,"""Umanesimo volgare"": Introduction to the Italian Literature of the 15th Century"
Introduzione alla filologia d'autore,410k033a,Course,Tatiana Crivelli Speciale,Italian,An Introduction to Authorial Philology
Ad alta voce,410k036a,Exercise Group,Tatiana Crivelli Speciale,Italian,Reading Aloud
Petrarca: Canzoniere,410k037a,Exercise Group,Johannes Bartuschat,Italian,Petrarch's Canzoniere
"Un narratore delle pianure. L'opera di Gianni Celati tra letteratura, cinema e fotografia",410k038a,Course,Alessandro Vito Bosco,Italian,Un narratore delle pianure. L_afia [s09]
I dialetti lombardi (in Svizzera e in Italia),410k575a,Seminar,Michele Loporcaro,Italian,Lombard Dialects (in Switzerland and Italy)
"Umberto Eco: filosofo, teorico e romanziere",410k576a,Seminar,Tatiana Crivelli Speciale,Italian,"Umberto Eco: Philosopher, Theorist and Novelist"
"Lingüística Hispánica, grupo 2",427-002a,Seminar,Philipp Obrist,Spanish,Spanish Linguistics
Análisis de Textos Literarios Hispa_anos,427-005a,Seminar,Andre Luiz Masseno Viana,Spanish,Analysis of Hispanic American Literary Texts
Motivationspsychologie,200-001e,Course,Veronika Brandstätter-Morawietz,German,"Introduction to Statistics and Emotional, Motivational and Social Psychology"
Sozialpsychologie (Teil 2),200-001f,Course,Johannes Ullrich,German,"Introduction to Statistics and Emotional, Motivational and Social Psychology"
Statistik 1 (Teil 2),200-001d,Course,Rudolf Georg Debelak,German,"Introduction to Statistics and Emotional, Motivational and Social Psychology"
Tutorat Statistik 1 T2,200-001b,Tutorial,Stephan Vonschallen,German,"Introduction to Statistics and Emotional, Motivational and Social Psychology"
Kognitionspsychologie 1,200-002d,Course,Lea Bartsch,"German, English","Introduction Methods, Cognition, Development, Biol. Psychology"
Entwicklungspsychologie (Teil 2),200-002e,Course,Sebastian Sven Horn,German,"Introduction Methods, Cognition, Development, Biol. Psychology"
Biologische Psychologie (Teil 2),200-002f,Course,Ulrike Maria Barbara Ehlert,German,"Introduction Methods, Cognition, Development, Biol. Psychology"
Statistik 2 (Teil 2),200-103b,Course,Carolin Strobl,German,Statistics 2
Einführung in die Klinische Psychologie und Psychopathologie (Teil 2),200-400b,Course,Marie Drüge,German,Introduction to Clinical Psychology and Psychopathology
KG Seminar: From the Reformation to the Trent Reform to modern-day Catholicism.,22SS033,Seminar,Jan Andrea Bernhard,German,KG Seminar: Von der Reformation über die Trienter Reform zum Katholizismus der
KG Seminar: Constantinople the new city,22SS034,Seminar,Silke-Petra Bergjan,German,"KG Seminar: Konstantinopel, die neue Stadt"
Cellular Response to Genotoxic Stress,BIO247,Block Course,Hanspeter Nägeli,English,BIO 247 Cellular Response to Genotoxic Stress
ST: Grundkurs Ethik,23LB100,Course,Michael Coors,German,ST: Foundation Course Ethics + Lecture Course Ethics
ST: Lektüre Ethik,23LB100,Exercise Group,Sebastian Farr,German,ST: Foundation Course Ethics + Lecture Course Ethics
"ST Seminar Ethics: End Times, Action and Hope - Does Theology Help in Climate Crisis?",23SS112,Seminar,Lea Chilian,German,"ST Seminar Ethik: Endzeitstimmung, Aktion und Hoffnung – Hilft Theologie in der"
ST Ethics: Researchkolloquium for PhD and PostDocs,23SD107,Colloquium,Michael Coors,German,ST Ethik: Doktoranden- und Habilitandenkolloquium
ST: Researchseminar Ethics,23SF108,Seminar,Michael Coors,German,ST: Forschungssseminar Ethik
KG: Vorlesung Reformationsgeschichte,22LB0002,Course,Tobias Jammerthal,German,CH: Lecture Reformation History
KG Vorlesung: Antikes Christentum,22LB0001,Course,Silke-Petra Bergjan,German,KG Vorlesung: Antikes Christentum
Reading Literary and Critical Theory: Group 1 (New Approaches to Shakespeare),440-550a,Seminar,N/A,English,Reading Literary and Critical Theory
Reading Literary and Critical Theory: Group 2 (Continuation from last semester),440-550a,Seminar,N/A,English,Reading Literary and Critical Theory
CH Research Group,22SF012,Seminar,Silke-Petra Bergjan,German,KG Forschungsseminar: Antike und Mittelalter
KG SO: Advanced Reading Class: Concepts of Contemporary Church History,22SF013,Seminar,Tobias Jammerthal,German,KG Sozietät: Kirchengeschichtliche Sozietät: Kirchliche Zeitgeschichte
Curso Preparatorio para el Examen de Lecturas de Literatura Española,427-006a,Exercise Group,Chiara Licci,Spanish,Readings of Spanish Literature
Sprachkurs: Hebräische Sprache II,91LB002,Language Course,Peter Schwagmeier,German,Hebrew II
Sprachkurs: Hebräische Sprache I,91LB001,Language Course,Peter Schwagmeier,German,Hebrew I
Griechische Sprache I,91LB003,Language Course,Laura Napoli,German,Greek I
Griechische Sprache II,91LB004,Language Course,Laura Napoli,German,Greek II
Sprachkurs: Latein II,91LB072,Language Course,Laura Napoli,German,Latin II
Curso Preparatorio para el Examen de Lecturas de Literatura Hispanoamericana,427-007a,Exercise Group,Virginia Amanda León Torrez,Spanish,Readings of Hispanic American Literature
Problemas Fundamentales de Gramática del Español,427-014a,Seminar,Johannes Kabatek,Spanish,Linguistic and Cultural Analysis
Llengua Catalana (A2-B1),427-018a,Language Course,Nuria de Rocafiguera Montanya,Catalan,Catalan Language (A2-B1)
Língua Portuguesa (B1),427-020a,Language Course,Joana Faro Serafim,Portuguese,Portuguese Language (B1)
Língua Portuguesa (C1),427-022a,Language Course,Joana Faro Serafim,Portuguese,Portuguese Language (C1)
La Celestina,427-501a,Seminar,Itziar Lopez Guil,Spanish,Analysis of Literary Texts fron Middle Ages to Golden Age
"El Renacimiento Literario Español: Poesía, Prosa, Teatro",427k040a,Course,Itziar Lopez Guil,Spanish,"The Spanish Literary Renaissance: Poetry, Prose, Theatre"
Literature in Context: History and Theory,440-200a,Course,N/A,English,Literature in Context: History and Theory
Contactos Lingüísticos en el Mundo Hispánico,427k041a,Course,Johannes Kabatek,Spanish,Linguistic Contacts in the Hispanic World
BW: Geschichte Israels,14LB001,Course,Erich Bosshard-Nepustil,German,History of ancient Israel
BW: Proseminar Methoden AT,14LB002,Proseminar,Konrad Schmid,German,Introduction to the exeget. methods OT
"OT Lecture: ""Who knows what is good for human beings?"" The Hebrew Bible as",14SV024,Course,Thomas Krüger,German,"AT Vorlesung: ""Wer weiss denn, was gut ist für den Menschen?"" Die Hebräische Bibel"
El Español a través de la Actualidad,427k042a,Language Course,Maria Carmen Munoz Macia Moll,Spanish,El Español a través de la Actualidad
OT Seminar: Glimpses of Ancient Near Eastern Literature,14SS027,Seminar,Thomas Krüger,German,AT Seminar: Einblicke in die Literatur des alten Orients
Expresión Oral (C1/C2),427k043a,Language Course,Maria Carmen Munoz Macia Moll,Spanish,Speaking Skills (C1/C2)
Universo Borges. Lecturas y relecturas de Jorge Luis Borges,427k044a,Course,Adriana Lopez-Labourdette,Spanish,Borges Universe. Lectures and re- lectures of Jorge Luis Borges
Escrever sobre a liberdade: a ditadura salazarista vista por autores da lusofonia,427k045a,Course,Joana Faro Serafim,Portuguese,Writing about Freedom: the Salazar Dictatorship as Seen by Portuguese- Speaking
OT/NT Seminar: Who is Israel in the Hebrew Bible/Ancient Judaism and in the New,14SS029,Seminar,Jörg Frey,English,AT/NT  Seminar: Who is Israel in the Hebrew Bible/Ancient Judaism and in the New
"Seminar, Jewish Studies: ""Jewish Zurich"" - On the tracks of Sigi Feigel (1921-2004)",14SS030,Seminar,Maria Lissek,German,"Seminar, Jüdische Studien: ""Jüdisches Zürich"" - Auf den Spuren von Sigi Feigel"
OT Exercise: History of Literature and Religion in Second Temple Judaism,14SU034,Exercise Group,Moritz Franz Adam,German,AT Übung: Die Literatur- und Religionsgeschichte des Judentums in der Zeit des
Reading Syriac for beginners,14SU035,Language Course,Thomas Krüger,German,Sprachkurs: Syrische Lektüre für Anfänger*innen
Allons à l'école! (Séminaire),390-510a,Seminar,Ursula Bähler,French,Culture and Communication
Anthropology of the Hebrew Bible,14SU036,Exercise Group,Thomas Krüger,German,AT Selbststudium: Anthropologie des Alten Testaments
Hebrew reading from the Kitzur Shulkhan Arukh,14SU037,Exercise Group,Thomas Krüger,German,AT: HSL Selbststudium: Hebräische Lektüre aus dem Kitzur Schulchan Aruch
Divination in the Ancient Near East,14SU038,Exercise Group,Thomas Krüger,German,AORG Selbststudium: Prognostik im Alten Orient
Reading the Book of Ester,14SU039,Exercise Group,Peter Schwagmeier,German,AT Übung: Lektüre des Buchs Ester
OT Research Seminar,14SF009,Seminar,Thomas Krüger,German,AT Forschungsseminar
Lengua Española (B2),427-003a,Language Course,Maria Carmen Munoz Macia Moll,Spanish,Spanish Language (B2)
Que peut la littérature pour nous?,390k022a,Course,Ursula Bähler,French,What Can Literature Do for Us?
Strumenti e metodi avanzati in linguistica,410-005a,Seminar,Michele Loporcaro,Italian,Advanced Methods and Research Tools in Linguistics
"Il genere grammaticale dal latino alle lingue romanze: storia, geografia, tipologia",410k029a,Course,Michele Loporcaro,Italian,"Grammatical Gender from Latin to Romance. History, Geography, Typology"
Prospettive di ricerca in linguistica (storica) italiana,410k578a,Colloquium,Michele Loporcaro,Italian,Research Perspectives in Italian Linguistics
Introduction to Basque Language and culture I,427k046a,Language Course,Arantzazu Aizpurua Arconada,English,Introduction to Basque Language and culture I
Investigaciones Iberorrománicas Actuales,427k581a,Colloquium,Johannes Kabatek,"Spanish, Other",Contemporary Ibero-Romance Research
ST Lecture Course Dogmatics: Pneumatology and Ecclesiology,23SV011,Course,Matthias D. Wüthrich,German,ST Vorlesung Dogmatik: Pneumatologie und Ekklesiologie
ST Lecture: Sin and Justification,23SV012,Course,Julian Zeyher-Quattlender,German,ST Vorlesung Dogmatik: Sünde und Rechtfertigung
"ST: PS Dogmatics: Augustine's Little Handbook on Faith, Hope and Love",23LB003,Proseminar,Christian Schaufelberger,German,ST Proseminar Dogmatics
"ST SE RPhRelSc: What is life? Approaches from a scientific, philosophical and theological",23SS030,Seminar,Oliver Ullrich,German,HE: Interdisziplinäre Hermeneutik
ST: Fortsetzungskurs Religionsphilosophie/Religion and Science,23LM020,Course,Katharina Merian,German,ST: Advanced Course in Philosophy of Religion
Modelos Sintácticos y Español Actual,427-503a,Seminar,Johannes Kabatek,Spanish,Investigations in Systemic Linguistics
Lengua Española (C2),427-505a,Language Course,Maria Victoria Ruiz Lozano Hänni,Spanish,Spanish Language (C2)
Einführung in die Vergleichende Romanische Sprachwissenschaft,430-001a,Seminar,Philipp Obrist,German,Empirical Foundations and Methods
Lengua Española (A2-B1),430-011a,Language Course,Maria Carmen Munoz Macia Moll,Spanish,Spanish Language (A2-B1)
Română 2,430-013a,Language Course,Dumitru Chihai,"Romanian, French",Romanian 2
Introducere în istoria limbii și literaturii române,430k053a,Course,Dumitru Chihai,"French, Romanian",Introduction to the History of Romanian Language and Literature
Curs da Rumantsch Grischun (segund da dus semesters),431j050a,Language Course,Rico Franc Valär,Rhaeto-Romanic,Language Course Rumantsch Grischun
Randomised trials – From lab experiments to large preventive trials,BME361,Block Course,Milo Alan Puhan,English,BME 361 Randomised trials – From lab experiments to large preventive trials
Gieus auditivs e dramas radiofonics sco gener litterar,431k056a,Seminar,Rico Franc Valär,Rhaeto-Romanic,Audio Plays and Radio Dramas as Literary Genre
Il rumantsch en situaziuns da contact linguistic,431k057a,Seminar,Toni Vinzens,Rhaeto-Romanic,Rhaeto-Romanic in Language Contact Situations
Invistas en l'istorgia da la litteratura rumantscha,431k058a,Course,Rico Franc Valär,Rhaeto-Romanic,Insights in the History of Rhaeto- Romanic Literature
Literaturtheorie (Ringvorlesung),500-502a,Course,Johannes Bartuschat,"German, English",Literary Theory (lecture series)
Forschungskolloquium,500-506a,Colloquium,Johannes Binotto,"German, English",Research colloquium
Walking the Walk: Gehen in der Literatur,504k061a,Seminar,Matteo Kobza,German,Walking the Walk: Walking in Literature
"ST Seminar Dogmatics: God as ""Poet of the World"" - Introduction to Process Theology",23SS031,Seminar,Matthias D. Wüthrich,German,"ST Seminar Dogmatik: Gott als ""Poet der Welt"" - Einführung in die Prozesstheologie"
ST Seminar Dogmatics: Thinking god atheistically!? The Theology of Dorothee Sölle,23SS033,Seminar,Julian Zeyher-Quattlender,German,ST Seminar: Gott atheistisch denken!? Die Theologie Dorothee Sölles
"ST Seminar Dogmatics: Eberhard Jüngels Dogmatics, An Introduction",23SS034,Seminar,Michael Nathan Goldberg,German,"ST Seminar Dogmatik: Eberhard Jüngel, Grundlinien seiner Dogmatik"
HE: Fortsetzungskurs Hermeneutik,23LB020,Seminar,Johannes Corrodi Katzenstein,German,HE: Advanced Course Hermeneutik and Artificial Intelligence
ST Dogmatics: Doctoral Colloquium,23SD013,Colloquium,Christiane Tietz,German,ST Dogmatik: Doktorandenkolloquium
ST: Systematic Doctoral Students' Colloquium,23SD014,Colloquium,Matthias D. Wüthrich,German,ST: Systematisches Doktorandenkolloquium
ST: Philosophical-Theological Research Seminar,23SF009,Seminar,Matthias D. Wüthrich,German,ST: Philosophisch-theologisches Forschungsseminar
Texte zum Verhältnis der Künste,504k062a,Seminar,Charles de Roche,German,Texts on the Relationship between the Arts
Jean-Luc Nancy lesen,504k063a,Exercise Group,Philippe Pascal Hänsler,German,Reading Jean-Luc Nancy
Literatur der Genauigkeit,504k064a,Exercise Group,Rahel Villinger,German,Literature of Exactitude
Medien der Avantgarde,504k585a,Seminar,Sandro Zanetti,German,Avant-Garde media
Forschungskolloquium AVL,504k586a,Colloquium,Sandro Zanetti,German,Research Colloquium CompLit
Analyse linguistique et philologique des genres textuels littéraires français médiévaux,390k024a,Course,Marco Robecchi,French,Linguistic and Philological Analysis of the Medieval French Textual Genres
Theorie und Geschichte der Erziehung und Bildung,226-021a,Course,Michèle Florence Hofmann,German,Theory and History of Education
"Theorie und Geschichte der Erziehung und Bildung, Gruppe A",226-021a,Exercise Group,Eleonora Olivia Rita Wicki,German,Theory and History of Education
"Theorie und Geschichte der Erziehung und Bildung, Gruppe B",226-021a,Exercise Group,Eleonora Olivia Rita Wicki,German,Theory and History of Education
"Theorie und Geschichte der Erziehung und Bildung, Gruppe C",226-021a,Exercise Group,Anna Park,German,Theory and History of Education
PT VL Liturgy:to behold the beautiful the beautiful services of the Lord Liturgy and,Practice24SV018,Course,Johannes Block,German,PT Vorlesung Liturgik: «zu schauen die schönen Gottesdienste des HERRN». Liturgik
"PT Introduction: ""Christianity in Society""",24LM003,Seminar,Thomas Schlag,German,"PT Einführung in das Themenfeld ""Christentum in der Gesellschaft"""
PT Seminar: Seelsorge für alle Fälle,24LB002,Seminar,Ralph Kunz,German,Seminar: Pastoral Care
PT Seminar: Public Transformations in South Africa: Preparatory Seminar for the Study,Africa24SS013,Seminar,Thomas Schlag,German,PT Seminar: Public Transformations in South Africa - Vorbereitungsseminar für die
PT Seminar/Globald Christianity: Queering Theology in theological ethics and practical,theology24SS014,Seminar,N/A,German,PT Seminar/Globales Christentum: Queering Theology in theologischer Ethik und
PT Seminar: Cooperation of diaconia and social space in health care,24SS015,Seminar,Christoph Samuel Sigrist,German,PT Seminar: Kooperation von Diakonie und Sozialraum im Gesundheitswesen
PT Practice: Pilgrim accompaniment and pilgrim theology,24SU021,Exercise Group,Ralph Kunz,German,PT Übung: Pilgern begleiten und theologisch reflektieren
