Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Further Training: Small Animal Surgery: Morbidity and Mortality Rounds,FWB125,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery: Morbidity and Mortality Rounds
Further Training: Small Animal Surgery and Oncology: Case Discussion,FWB126,Colloquium,Carla Rohrer Bley,German,Further Training: Small Animal Surgery and Oncology: Case Discussion
Further Training: Small Animal Surgery and Radiology: Case Discussion,FWB127,Colloquium,Antonio Pozzi,German,Further Training: Small Animal Surgery and Radiology: Case Discussion
Journal Club Small Animal Surgery,FWB128,Colloquium,Antonio Pozzi,German,Journal Club Small Animal Surgery
Wednesday Seminar on Small Animal Surgery,FWB129,Colloquium,Antonio Pozzi,German,Wednesday Seminar on Small Animal Surgery
Parasitological-Diagnostic Case Discussions,FWB13,Seminar,Manuela Schnyder Gasparoli,German,Parasitological-Diagnostic Case Discussions
Professional ethics in veterinary medicine,FWB134,Seminar,Sonja Sybille Hartnack,German,Professional ethics in veterinary medicine
Intensive review session small animal internal medicine,FWB136,Seminar,Toni Glaus,German,Intensive review session small animal internal medicine
Further Training Parasitology,FWB137,Seminar,Manuela Schnyder Gasparoli,German,Further Training Parasitology
Von der Laborbank zum Pult und zurück ins Labor,FWB138,Seminar,Adrian Hehl,German,From bench to desk and back to the bench
Further Training Seminar: Parasitology,FWB14,Seminar,Adrian Hehl,German,Further Training Seminar: Parasitology
Current Problems in Biochemistry and Molecular Biology (Joint Research Meeting),FWB16,Colloquium,Michael O. Hottiger,German,Current Problems in Biochemistry and Molecular Biology  (Joint Research Meeting)
Literature Seminar on Biochemistry and Molecular Biology,FWB18,Seminar,Michael O. Hottiger,German,Literature Seminar on Biochemistry and Molecular Biology
Virology Seminaries,FWB2,Seminar,Cornel Fraefel,German,Virology Seminaries
"Repair, Recombination, Replication",FWB5,Seminar,Michael O. Hottiger,German,"Repair, Recombination, Replication"
Literature Seminar: Laboratory Medicine and Clinical Research,FWB56,Seminar,Regina Hofmann-Lehmann,German,Literature Seminar: Laboratory Medicine and Clinical Research
Current Problems of Laboratory Medicine and Clinical Research,FWB57,Seminar,Regina Hofmann-Lehmann,German,Current Problems in Laboratory Medicine and Clinical Research
Seminaries on Farm Animals and Reproduction,FWB6,Seminar,Heinrich Bollwein,German,Seminaries on Farm Animals and Reproduction
Literature Colloquium Clinic for Farm Animals,FWB62,Seminar,Ulrich T. Bleul,German,Literature Colloquium Clinic for Farm Animals
Practical Biomedical Research,FWB64,Practical Training,Michael O. Hottiger,German,Practical Biomedical Research
Further Training Pathology: Ophthalmology,FWB85,Seminar,Franco Guscetti,German,Further Training Pathology: Ophthalmology
Journal Club Oncology,FWB88,Colloquium,Carla Rohrer Bley,German,Journal Club Oncology
Seminar in interdisciplinary life science,WB141,Seminar,Michael O. Hottiger,English,Seminar in interdisciplinary life science
"Genetics, General Animal Breeding",.151_kg,Course,Claude Schelling,German,"Genetics, General Animal Breeding"
"Animal Welfare, Animal Ethics, Ethology, Animal Husbandry",.152_tet,Course,Hanno Würbel,German,"Animal Welfare, Animal Ethics, Ethology, Animal Husbandry"
Biochemestry I,.161_bc,Course,Matthias Altmeyer,German,Biochemistry and Molecular Biology II
Molecular Biology II,.161_bm,Course,Michael O. Hottiger,German,Biochemistry and Molecular Biology II
Developmental Biology,.162_eb,Lecture with Practical Exercises,Max Gassmann,German,Developmental Biology
Foundations of Physiology,.164_gp,Lecture with Practical Exercises,Max Gassmann,German,Foundations of Physiology
"Clinical Activities, External Clinic Day",.170_kt,Practical Training,Anton Fürst,German,"Clinical Activities, External Clinic Day"
"Bacteriology, Mycology II",.240_bm,Lecture with Practical Exercises,Sophia Johler-Ilic,German,"Bacteriology, Mycology"
Immunology,.251_im,Course,Nicole Borel,German,"Immunology, Pathology"
"Pathology, Immunopathology",.252_pa,Lecture with Practical Exercises,Anja Kipar,German,"Immunology, Pathology"
"Metabolism, Intermediary Metabolism, Water-Soluble Vitamins",.260_bc,Course,Michael O. Hottiger,German,Biochemistry II
Heart,.271_hz,Lecture with Practical Exercises,Thomas Lutz,German,"Heart, Circulatory System, Respiratory System"
Respiratory System,.273_rsp,Lecture with Practical Exercises,Christian Gerspach,German,"Heart, Circulatory System, Respiratory System"
"Skin, Thermoregulation",.280_ht,Lecture with Practical Exercises,Hanspeter Nägeli,German,"Skin, Thermoregulation"
Parasiitology I,.285_p1,Lecture with Practical Exercises,Manuela Schnyder Gasparoli,German,Parasitology
Vetsuisse Clinic Days,.290_kt,Practical Training,N/A,German,Vetsuisse Clinic Days
Communication Basis,.295_km,Seminar,N/A,German,Kommunication Basis
Endocrinology,.462_end,Course,Felicitas Sigrun Boretti Schär,German,Endocrinology
"Prophylactic Measures, Herd Health, Swine Medicine",.470_pr,Lecture with Practical Exercises,Heinrich Bollwein,German,"Prophylactic Measures, Herd Health, Swine Medicine"
Acute Abdomen,.481_aa,Tutorial,Hanspeter Nägeli,German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
Lameness,.482_lf,Tutorial,Antonio Pozzi,"German, English","Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
Performance Weakness,.483_sw,Tutorial,Toni Glaus,German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
Ataxia / Seizure Disorders,Ataxia,Tutorial,Christian Gerspach,German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
Polyuria / Polydipsia,Polyuria,Tutorial,Felicitas Sigrun Boretti Schär,German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
Pruritus / Alopecia,Pruritus,Tutorial,Claude Favrot,German,"Chief Complaints: Acute Abdomen, Lameness, Performance Weakness, Ataxia/"
