Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Minor 30 Modern History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Evolutionary Language Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Comparative Language Science,Paul Widmer,Lena Dorothea Elisabeth Zipp,Page 2 of 2; Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Cultural Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Bernhard Tschofen,Mischa Elias Gallati Zimmermann,Master of Arts in Ancient Judaism (JDP)
Minor 30 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Philosophy of Science,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Foundations of Moral Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 English Literature/Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,English Department,Barbara Straumann,Martin Mühlheim,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Slavonic Literatures/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Slavonic Languages and Literatures,Sylvia Sasse,Gianna Maria Giulia Frölicher,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Musicology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Musicology,Inga Mai Groote,Esma Cerkovnik,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Film Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Daniel Johannes Wiegand,Matthias Brütsch,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Political Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Methods – Data – Society,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Social Sciences,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 General and Comparative Literature,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Ayse Zeynep Pamuk,Master of Arts in Ancient Judaism (JDP)
Minor 30 Comparative Romance Linguistics,"French, Italian, Spanish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021)
Minor 30 Gender Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Bettina Dennerlein,Monika Gsell,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Indian Studies,"English, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Islamic Studies,"English, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Japanese Studies,"English, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Modern Asian and Middle Eastern Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,Angelika Malinar,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Sinology,"English, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 French Literature/Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP)
Minor 30 Ibero-Romance Literatures/Linguistics,"Spanish, Portuguese",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Individual Doctorate Film Studies,"German, English, French",,Department of Film Studies,,,Doctorate Faculty of Arts and Social Sciences
Minor 30 Ancient History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Medieval History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Eastern European History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Digital Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Ancient Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Andreas Victor Walser,Fabian Zogg,Master of Arts in Ancient Judaism (JDP)
Minor 30 Economic History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Matthieu Leimgruber,Salome Egloff,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts UZH in Business and Economics (RVO22); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Archaeologies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Interdisciplinary Archaeological Sciences,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Archaeology,Corinna Simone Reinhardt,Katharina Irene Bursztyn,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19)
Minor 30 Communication Science and Media Research,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Communication and Media Research,Mark Eisenegger,Stefanie Andrea Hangartner,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 East Asian Art History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 German Literature/Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Scandinavian Studies,"German, Danish, Swedish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Cultural Analysis,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Christine Suzanne Lötscher,Benno Wirz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Comparative Germanic Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19)
Minor 30 Educational Science,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020; Master of Theology UZH Bologna 2020
Minor 30 Social and Cultural Anthropology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,,,,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Economic Education,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Minor 30 Education in the Life Course,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Education,Peter Rieker,Bettina Kunz,Master of Arts in Ancient Judaism (JDP); Master of Science Faculty of Science (120) (2021); Master of Arts (RVO19); Master of Arts in Social Sciences (RVO19); Master of Arts UZH in Study of Religions Bologna 2020
Individual Doctorate Linguistics,"English, German",,Faculty of Arts and Social Sciences,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Chinese Studies,"German, English",,Institute of Asian and Oriental Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Japanese Studies,"German, English",,Institute of Asian and Oriental Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Islamic Studies,"German, English",,Institute of Asian and Oriental Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Greek Philology,German,,Department of Greek and Latin Philology,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Latin Philology,German,,Department of Greek and Latin Philology,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Medieval and New Latin Philology,German,,Department of Greek and Latin Philology,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Indian Studies,"German, English",,Institute of Asian and Oriental Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate German Literature,German,,Department of German and Scandinavian Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Scandinavian Studies,German,,Department of German and Scandinavian Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Cultural Analysis,German,,Department of German and Scandinavian Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate French Literature,French,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Italian Literature,Italian,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Spanish Literature,Spanish,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Portuguese Literature,Portuguese,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Rhaeto-Romanic Language and Literature,,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Comparative Romance Literature,,,Department of Romance Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate English and American Literature,English,,English Department,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate English Literature,English,,English Department,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Slavic Literature,German,,Department of Slavonic Languages and Literatures,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Cultural Studies,German,,Department of Social Anthropology and Cultural Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Computational Linguistics and Phonetics,"English, German",,Department of Computational Linguistics,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate History,German,,Department of History,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Prehistoric Archaeology,German,,Department of Archaeology,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Art History,German,,Institute of Art History,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate East Asian Art History,German,,Institute of Art History,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Classical Archaeology,German,,Department of Archaeology,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Medieval Archaeology,German,,Institute of Art History,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Social and Cultural Anthropology,"English, German",,Department of Social Anthropology and Cultural Studies,,,Doctorate Faculty of Arts and Social Sciences
Individual Doctorate Musicology,German,,Institute of Musicology,,,Doctorate Faculty of Arts and Social Sciences
Major 120 Study of Religions,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Rafael Walthert,,BA UZH in Study of Religions Bologna 2020
Teaching Subject 1 Computer Science (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Philosophy (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Pedagogy/Psychology (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Greek (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Latin (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 German (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 French (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Italian (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Spanish (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 English (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Russian (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 History (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Mathematics (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Physics (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Chemistry (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Geography (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 1 Biology (1st Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Religion (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Computer Science (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Philosophy (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Pedagogy/Psychology (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Greek (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Latin (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 German (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 French (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Italian (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Spanish (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Rhaeto-Romanic (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 English (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Russian (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 History (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Mathematics (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Physics (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Chemistry (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Geography (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject 2 Biology (2nd Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Economics and Law (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Computer Science (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Philosophy (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Pedagogy/Psychology (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Greek (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Latin (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject German (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject French (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Italian (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Spanish (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject English (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Russian (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject History (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Mathematics (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Physics (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Chemistry (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Geography (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Teaching Subject Biology (Teaching Subject),,,Institute of Education,,,Teaching Diploma for Upper Secondary Education (LfM)
Additional Teaching Subject Economics and Law,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Computer Science,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Philosophy,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Pedagogy/Psychology,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Greek,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Latin,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject German,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject French,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Italian,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Spanish,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Rhaeto-Romanic,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject English,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Russian,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject History,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Mathematics,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Physics,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Chemistry,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Geography,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Additional Teaching Subject Biology,,,Institute of Education,,,Erweiterungsdiplom über ein zusätzliches Unterrichtsfach (ED ZUF)
Single Major 90 Theoretical Astrophysics and Cosmology (Fast-Track),English,,Faculty of Science,Ravit Helled,Elzbieta Joanna Rembelska,Master of Science Faculty of Science (90) (2021)
Single Major 90 Biochemistry,English,,Faculty of Science,Raimund Dutzler,Cristina Manatschal,Master of Science Faculty of Science (90) (2021)
Single Major 90 Biology,English,,Faculty of Science,Esther Stoeckli,Karin Isler,Master of Science Faculty of Science (90) (2021)
Single Major 90 Physics (Fast Track),English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (90) (2021)
Single Major 90 Physics,English,,Faculty of Science,Christof Aegerter,Anna Katharina Troller,Master of Science Faculty of Science (90) (2021)
Single Major 90 Medical Biology (specialized Master),English,,Faculty of Science,Alexandra Trkola,Artemi Bendandi,Master of Science Faculty of Science (90) (2021)
Single Major 90 Mathematics,"German, English",,Faculty of Science,Reinhard Furrer,Maja Bettina Schärer,Master of Science Faculty of Science (90) (2021)
Single Major 90 Geography,"German, English",,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Master of Science Faculty of Science (90) (2021)
Single Major 90 Earth System Science,English,,Faculty of Science,Norman Backhaus,Yvonne Scheidegger,Master of Science Faculty of Science (90) (2021)
Single Major 90 Chemistry and Business Studies,"German, English",,Faculty of Science,Stefan Seeger,Sabine Stockhause,Master of Science Faculty of Science (90) (2021)
Single Major 90 Chemistry,English,,Faculty of Science,Sandra Erika Luber,Sabine Stockhause,Master of Science Faculty of Science (90) (2021)
Single Major 90 Chemical and Molecular Sciences (specialized Master),English,,Faculty of Science,Bernhard Spingler,Sabine Stockhause,Master of Science Faculty of Science (90) (2021)
Concentration Cancer Biology,,,Faculty of Science,,,Master of Science Faculty of Science (90) (2021)
Single Major 90 Biostatistics (specialized Master),English,,Faculty of Science,Reinhard Furrer,Eva Maria Furrer,Master of Science Faculty of Science (90) (2021)
