Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Major 120 Psychology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Psychology,Klaus Oberauer,Heike Dele Bull,Bachelor of Science in Psychology (RVO19)
Minor 60 Italian Literature and Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Science Faculty of Science (2021)
Minor 60 Romansh Literature and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19)
Minor 60 Comparative Romance Linguistics,"French, Italian, Spanish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Bachelor of Science Faculty of Science (2021)
Minor 60 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Carmen Cardelle,Fabian Zogg,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Minor 60 Slavonic Literatures and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Slavonic Languages and Literatures,Sylvia Sasse,Gianna Maria Giulia Frölicher,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19)
Minor 60 Indian Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19)
Single Major 90 Mobility Exams,,,Faculty of Law,,,Further Courses
Minor 60 Religions in the Ancient World,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Konrad Schmid,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 Biblical Studies,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Stefan Krauter,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
Minor 60 History of Christianity,,https://www.trf.uzh.ch/studierende/modulkataloge_ba.html,Faculty of Theology and the Study of Religion,Tobias Jammerthal,,Bachelor of Science Faculty of Science (2021); Bachelor of Arts (RVO19); Bachelor of Arts in Social Sciences (RVO 19); Bachelor of Science in Psychology (RVO19); BA UZH in Study of Religions Bologna 2020; Bachelor of Theology UZH Bologna 2020
