Event Name,Event Code,Event Type,Instructor,Course Languages,Component of Module
Themenfeld Neuro-Psyche,NEUROFS,Course,Christian Rainer Baumann,German,Vorlesungen I (3.SJ M Med / FS)
Themenfeld Hals-Kopf,HALSFS,Course,Alexander Huber,German,Vorlesungen I (3.SJ M Med / FS)
Vorlesung Bildgebung und Diagnostik FS,DIAGNOFS,Course,Anita Rauch,German,"Lectures on key subject areas, longitudinal topics and Student Repetition Week in the"
Vorlesung Pharmakotherapie FS,PHARMAFS,Course,Michael Arand,German,"Lectures on key subject areas, longitudinal topics and Student Repetition Week in the"
Cuors da romontsch sursilvan (als Fremdsprache),431h045a,Language Course,Ralf Beer,German,Language Course Romontsch Sursilvan
Fallbearbeitung im Öffentlichen Recht Gruppe 1,90PM5-1,Student Work,Thomas Gächter,German,Case Studies in Public Law
"Doktorats- und Habilitationskolloquium für Rechtsgeschichte, Kirchenrecht, Rechtstheorie",PrivatrechtIUS_AD2,Colloquium,Andreas Thier,German,"Doktorats- und Habilitationskolloquium für Rechtsgeschichte, Kirchenrecht,"
Doktoratskolloquium (M. Mahlmann),IUS_AD12,Colloquium,Matthias Mahlmann,German,Doktoratskolloquium (M. Mahlmann)
Doktoratskolloquium (A. Büchler),IUS_AD23,Colloquium,N/A,German,Doktoratskolloquium (A. Büchler)
Doktoratskolloquium (Haas/Domej),IUS_AD31,Colloquium,Tanja Domej,German,Doktoratskolloquium (Haas/Domej)
Doktoratskolloquium in Wirtschafts- und Gesellschaftsrecht (S.K. Alexander),IUS_AD63,Colloquium,Samuel Kern Alexander,German,Doktoratskolloquium in Wirtschafts- und Gesellschaftsrecht (S.K. Alexander)
Doktoratskolloquium (H.-U.Vogt),IUS_AD29,Colloquium,Hans-Ueli Vogt,German,Doktoratskolloquium (H.-U.Vogt)
Doktoratskolloquium UFSP Finanzmarktrecht,IUS_AD79,Colloquium,Rolf Sethe,German,Doktoratskolloquium UFSP Finanzmarktrecht
Doktoratskolloquium (ÖR),IUS_AD8,Seminar,Regina Kiener,German,Doktoratskolloquium (ÖR)
Doktoratskolloquium Textsortenanalyse und Schreibwerkstatt (DR),IUS_AD72,Seminar,Andreas Kley,German,Doktoratskolloquium Textsortenanalyse und Schreibwerkstatt (DR)
Methodenlehre und Rechtstheorie,60PM3-1,Course,Matthias Mahlmann,German,Legal Methods and Legal Theory
Übungen zur Rechtsgeschichte Gruppe 1,60PM4-2,Exercise Group,Johannes Liebrecht,German,"Legal History (BLaw), Part 2 (no exam registration)"
Übungen zur Rechtsgeschichte Gruppe 2,60PM4-2,Exercise Group,Andreas Thier,German,"Legal History (BLaw), Part 2 (no exam registration)"
Römisches Privatrecht II Gruppe 1,60PM5-2,Course,Adrian Rayen Häusler,German,"Roman Civil Law, Part 2 (no exam registration)"
Römisches Privatrecht II Gruppe 2,60PM5-2,Course,José Luis Alonso,German,"Roman Civil Law, Part 2 (no exam registration)"
Übungen im Römischen Privatrecht Gruppe 1,60PM5-3,Exercise Group,Rafael Brägger,German,"Roman Civil Law, Part 2 (no exam registration)"
Übungen im Römischen Privatrecht Gruppe 2,60PM5-3,Exercise Group,Rafael Brägger,German,"Roman Civil Law, Part 2 (no exam registration)"
Übungen im Römischen Privatrecht Gruppe 3,60PM5-3,Exercise Group,Rafael Brägger,German,"Roman Civil Law, Part 2 (no exam registration)"
Übungen im Römischen Privatrecht Gruppe 4,60PM5-3,Exercise Group,Rafael Brägger,German,"Roman Civil Law, Part 2 (no exam registration)"
Rechtsphilosophie,120GL1-1,Course,Matthias Mahlmann,German,Philosophy of Law (BLaw)
Rechtssoziologie,120GL2-1,Course,Tilmann Martin Altwicker,German,Legal Sociology (BLaw)
Verfassungsgeschichte,120GL3-1,Course,Andreas Kley,German,Constitutional History
Contemporary History of Law,90GL2-1,Course,Elisabetta Fiocchi Malaspina,English,Contemporary History of Law
History of European Legal Science,90GL6-1,Course,José Luis Alonso,English,History of European Legal Science
Modern Times. Legal History of Modern Europe,90GL11-1,Course,Johannes Liebrecht,English,Legal History (MLaw)
Legal Sociology,90GL13-1,Course,Tilmann Martin Altwicker,English,Legal Sociology (MLaw)
Methodenlehre,90GL12-1,Course,Pascal Felix Meier,German,Legal Methods
Wirtschaftsrechtsgeschichte,90GL5-2,Course,Andreas Thier,German,History of Business Law
Staatskirchen- und Kirchenrecht,90WM75-1,Course,Andreas Thier,German,Law of the Relations between Church and State and Ecclesiastical Law
Zürcher Ausspracheabende zur Rechtsgeschichte,90WM37-1,Course,José Luis Alonso,"German, English",Zurich Evening Talks on Legal History
Verwaltungsstrafrecht,90WM72-1,Course,Brigitte Tag,German,Administrative Criminal Law
Die Sanktionen des Strafgesetzbuches,90WM27-1,Course,Felix Bommer,German,Custodial Sanctions
WuV StrafR: Strafrecht,90PM3-3,Course,Sarah Jane Summers,German,"Advanced Criminal Law and Procedure, Part 2 (no exam registration)"
International Criminal Law,90IL8-1,Course,Sarah Jane Summers,English,International Criminal Law
Strafrecht AT II Gruppe 2,60PM7-3,Course,Brigitte Tag,German,"Criminal Law I, Part 2 (no exam registration)"
Strafrecht AT II Gruppe 1,60PM7-3,Course,Gunhild Barbara Godenzi,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 1,60PM7-4,Exercise Group,Bernhard Alfred Isenring,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 2,60PM7-4,Exercise Group,Gunhild Barbara Godenzi,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 3,60PM7-4,Exercise Group,Sophie-Katharina Matjaz,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 4,60PM7-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 5,60PM7-4,Exercise Group,Sonja Anna Maria Pflaum,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 6,60PM7-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 7,60PM7-4,Exercise Group,Carolin Hürlimann-Fersch,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 8,60PM7-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 9,60PM7-4,Exercise Group,Pascal Sven Ronc,German,"Criminal Law I, Part 2 (no exam registration)"
Übungen im Strafrecht I Gruppe 10,60PM7-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law I, Part 2 (no exam registration)"
Strafrecht BT II,120PM5-3,Course,Marc Thommen,German,"Criminal Law II, Part 2 (no exam registration)"
Strafprozessrecht,120PM5-4,Course,Sarah Jane Summers,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 1,120PM5-5,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 2,120PM5-5,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 3,120PM5-5,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 4,120PM5-5,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 5,120PM5-5,Exercise Group,Julian Peter Anias Mausbach,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 6,120PM5-5,Exercise Group,Umberto Pajarola,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 7,120PM5-5,Exercise Group,Sven Zimmerlin,German,"Criminal Law II, Part 2 (no exam registration)"
Übungen im Strafrecht II Gruppe 8,120PM5-5,Exercise Group,Roberta Julianna Arnold,German,"Criminal Law II, Part 2 (no exam registration)"
Kriminaltechnik - Spurenkundliche Sachbeweise,120WM6-1,Course,Thomas Ottiker,German,Forensic Science
Internationale Rechtshilfe in Strafsachen,120WM5-1,Course,Lukas Staffler,German,International Mutual Legal Assistance in Criminal Matters
Übungen im Gesellschaftsrecht Gruppe 1,120PM4-3,Exercise Group,Hans-Ueli Vogt,German,"Trade and Business Law I, Part 2 (no exam registration)"
Übungen im Gesellschaftsrecht Gruppe 2,120PM4-3,Exercise Group,Hans-Ueli Vogt,German,"Trade and Business Law I, Part 2 (no exam registration)"
Übungen im Gesellschaftsrecht Gruppe 3,120PM4-3,Exercise Group,Hans-Ueli Vogt,German,"Trade and Business Law I, Part 2 (no exam registration)"
Übungen im Gesellschaftsrecht Gruppe 4,120PM4-3,Exercise Group,Hans-Ueli Vogt,German,"Trade and Business Law I, Part 2 (no exam registration)"
Tutorate im Gesellschaftsrecht Gruppe 1,120PM4-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Trade and Business Law I, Part 2 (no exam registration)"
Tutorate im Gesellschaftsrecht Gruppe 2,120PM4-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Trade and Business Law I, Part 2 (no exam registration)"
Tutorate im Gesellschaftsrecht Gruppe 3,120PM4-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Trade and Business Law I, Part 2 (no exam registration)"
Tutorate im Gesellschaftsrecht Gruppe 4,120PM4-4,Exercise Group,Rechtswissensch. Fakultät N.N.-Dozent,German,"Trade and Business Law I, Part 2 (no exam registration)"
European Economic Law,90CL6-1,Course,Peter Georg Picht,English,European Economic Law
International Financial Law,90IL10-1,Course,Samuel Kern Alexander,English,International Financial Law
Introduction to U.S. Business Law,90CL7-1,Course,Andreas Otto Kellerhals,English,Introduction to U.S. Business Law
Aktienrecht,90WM1-1,Course,Hans-Ueli Vogt,German,Stock Corporation Law
Geld- und Währungsrecht,90WM46-1,Course,Corinne Zellweger-Gutknecht,German,Monetary Law
"Immaterialgüterrecht: Patent-, Know-how und Markenrecht",90WM49-A,Course,Peter Georg Picht,German,Intellectual Property Law
Immaterialgüterrecht: Urheber- und Designrecht,90WM49-B,Course,Florent Thouvenin,German,Intellectual Property Law
Internet Law,90WM52-1,Course,Demian Stauber,English,Internet Law
Introduction to Chinese Business Law,90WM53-1,Course,Esther Nägeli,English,Introduction to Chinese Business Law
Kapitalmarktrecht I,90WM55-1,Course,Lukas Fahrländer,German,Law of Capital Markets I
Kartell- und Immaterialgüterrecht in der digitalen Wirtschaft,90WM63-1,Course,Adrian Künzler,German,Competition and Intellectual Property Law in the Digital Economy
Rechtsgestaltung im Wirtschaftsverkehr: Ökonomische Grundlagen &amp;,tze90WM62-1,Course,Damian Adrian Fischer,German,Legal Shaping in the Business Context: Economic Foundations &amp; Solution
Deals - Gesellschafts- und Vertragsrecht in der Transaktionspraxis,90WM71-1,Course,N/A,German,Deals - Gesellschafts- und Vertragsrecht in der Transaktionspraxis
Wettbewerbsrecht-Fallstudien,90WM74-1,Course,Peter Georg Picht,German,Competition Law - Case Studies
Grundrechte II Gruppe 1,60PM8-5,Course,Regina Kiener,German,"Public Law I, Part 2 (no exam registration)"
Grundrechte II Gruppe 2,60PM8-5,Course,Goran Slobodan Seferovic,German,"Public Law I, Part 2 (no exam registration)"
Staatsrecht II Gruppe 1,60PM8-4,Course,Thomas Gächter,German,"Public Law I, Part 2 (no exam registration)"
Staatsrecht II Gruppe 2,60PM8-4,Course,Johannes Reich,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 1,60PM8-6,Exercise Group,Andrea Marcel Töndury,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 2,60PM8-6,Exercise Group,Corina Heri,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 3,60PM8-6,Exercise Group,Helen Keller,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 4,60PM8-6,Exercise Group,Elif Askin,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 5,60PM8-6,Exercise Group,Andrea Marcel Töndury,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 6,60PM8-6,Exercise Group,Corina Heri,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 7,60PM8-6,Exercise Group,Helen Keller,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht I Gruppe 8,60PM8-6,Exercise Group,Elif Askin,German,"Public Law I, Part 2 (no exam registration)"
Übungen im Öffentlichen Recht II Gruppe 1,120PM6-4,Exercise Group,Johannes Reich,German,"Public Law II, Part 2 (no exam registration)"
